opportunity_id,account_id,lead_id,owner,product_id,estimated_quantity,created_date,estimated_close_date,stage,probability_pct,status,actual_close_date,actual_value_irr,lose_reason,estimated_value_irr
OPP00043,ACC0064,LEAD00109,E0028,P010,8,2025-08-18,2025-10-08,4-Close,1.0,Won,2025-10-08,22986281.0,,25127801
OPP00044,ACC0020,LEAD00110,E0009,P003,38,2024-10-11,2024-11-17,4-Close,0.0,Lost,2024-12-01,,Lost to Competitor,237462428
OPP00045,ACC0030,LEAD00111,E0028,P014,8,2025-10-15,2025-12-12,4-Close,0.0,Lost,2025-12-14,,Lost to Competitor,108330110
OPP00046,ACC0011,LEAD00113,E0032,P009,27,2024-07-08,2024-09-06,4-Close,0.0,Lost,2024-09-11,,Went With In-house Supply,46218285
OPP00047,ACC0037,LEAD00118,E0057,P015,8,2024-06-19,2024-07-09,4-Close,1.0,Won,2024-07-11,144239319.0,,154917622
OPP00048,ACC0056,LEAD00121,E0014,P008,37,2024-06-25,2024-07-16,4-Close,0.0,Lost,2024-07-14,,Lost to Competitor,85449610
OPP00049,ACC0043,LEAD00124,E0099,P013,142,2025-07-05,2025-09-01,4-Close,0.0,Lost,2025-09-07,,Lost to Competitor,1277052488
OPP00050,ACC0043,LEAD00126,E0032,P014,4,2024-12-02,2025-01-04,4-Close,1.0,Won,2025-01-03,48915924.0,,49370848
OPP00051,ACC0052,LEAD00128,E0014,P014,110,2025-06-14,2025-10-21,4-Close,1.0,Won,2025-10-17,1439737807.0,,1398536313
OPP00052,ACC0045,LEAD00129,E0057,P006,8,2024-05-16,2024-09-18,4-Close,0.0,Lost,2024-10-01,,Went With In-house Supply,12648646
OPP00053,ACC0002,LEAD00131,E0052,P011,31,2024-04-30,2024-05-26,4-Close,0.0,Lost,2024-05-29,,Went With In-house Supply,302137359
OPP00054,ACC0007,LEAD00134,E0018,P012,8,2025-07-25,2025-12-01,4-Close,0.0,Lost,2025-12-03,,Went With In-house Supply,27349225
OPP00055,ACC0024,LEAD00135,E0032,P003,41,2024-05-09,2024-07-26,4-Close,0.0,Lost,2024-07-24,,Lost to Competitor,251800058
OPP00056,ACC0048,LEAD00136,E0126,P005,9,2024-12-27,2025-01-17,4-Close,1.0,Won,2025-01-11,80796315.0,,80285379
OPP00057,ACC0060,LEAD00138,E0018,P010,54,2024-11-07,2025-03-04,4-Close,0.0,Lost,2025-03-04,,Timing / Postponed,165559150
OPP00058,ACC0006,LEAD00139,E0018,P005,4,2025-10-28,2025-11-26,4-Close,0.0,Lost,2025-12-08,,Price,36100943
OPP00059,ACC0010,LEAD00142,E0119,P014,45,2024-04-17,2024-05-23,4-Close,0.0,Lost,2024-05-20,,Price,577378689
OPP00060,ACC0037,LEAD00143,E0173,P011,48,2024-11-06,2024-12-01,4-Close,0.0,Lost,2024-12-10,,Price,472203508
OPP00061,ACC0004,LEAD00144,E0163,P017,25,2024-09-11,2024-10-08,4-Close,1.0,Won,2024-10-07,288573995.0,,301644375
OPP00062,ACC0038,LEAD00151,E0032,P007,12,2024-07-19,2024-09-05,4-Close,0.0,Lost,2024-09-03,,Price,24166309
OPP00063,ACC0059,LEAD00152,E0009,P002,240,2024-02-25,2024-04-08,4-Close,0.0,Lost,2024-04-22,,Price,1326621501
OPP00064,ACC0040,LEAD00156,E0161,P010,6,2025-07-28,2025-09-04,4-Close,0.0,Lost,2025-09-07,,Went With In-house Supply,19236859
OPP00065,ACC0004,LEAD00161,E0161,P012,23,2024-04-26,2024-05-27,4-Close,1.0,Won,2024-05-24,70390223.0,,73489529
OPP00066,ACC0012,LEAD00165,E0148,P008,8,2024-09-14,2025-01-23,4-Close,1.0,Won,2025-01-14,18838906.0,,17970211
OPP00067,ACC0057,LEAD00168,E0126,P011,51,2025-02-08,2025-05-29,4-Close,0.0,Lost,2025-06-08,,Lost to Competitor,546813336
OPP00068,ACC0054,LEAD00170,E0089,P012,56,2025-12-16,2026-05-31,1-Qualify,0.11,Open,,,,173634369
OPP00069,ACC0051,LEAD00172,E0018,P009,16,2024-06-26,2024-10-05,4-Close,0.0,Lost,2024-10-22,,No Budget,29033667
OPP00070,ACC0023,LEAD00173,E0172,P016,36,2025-08-31,2025-10-06,4-Close,0.0,Lost,2025-10-05,,Lost to Competitor,383376168
OPP00071,ACC0005,LEAD00175,E0173,P006,50,2024-06-07,2024-06-29,4-Close,0.0,Lost,2024-07-04,,Price,69061274
OPP00072,ACC0062,LEAD00178,E0057,P014,17,2024-11-21,2024-12-15,4-Close,1.0,Won,2024-12-18,205055270.0,,205803507
OPP00073,ACC0049,LEAD00182,E0161,P003,58,2025-06-23,2025-07-25,4-Close,1.0,Won,2025-07-20,377867623.0,,370639844
OPP00074,ACC0059,LEAD00187,E0119,P002,126,2025-02-14,2025-03-28,4-Close,0.0,Lost,2025-03-31,,Timing / Postponed,620055350
OPP00075,ACC0066,LEAD00193,E0009,P016,61,2024-09-18,2024-10-18,4-Close,1.0,Won,2024-10-20,595802066.0,,597210567
OPP00076,ACC0066,LEAD00195,E0028,P007,3,2025-05-25,2025-06-16,4-Close,0.0,Lost,2025-06-17,,Price,5853342
OPP00077,ACC0065,LEAD00197,E0052,P015,43,2025-01-23,2025-02-19,4-Close,1.0,Won,2025-02-19,868609088.0,,853224754
OPP00078,ACC0005,LEAD00200,E0173,P017,68,2025-04-16,2025-05-12,4-Close,1.0,Won,2025-05-16,769609499.0,,805923547
OPP00079,ACC0008,LEAD00201,E0173,P016,17,2024-08-01,2024-08-28,4-Close,1.0,Won,2024-08-29,174888549.0,,173236274
OPP00080,ACC0038,LEAD00206,E0009,P011,35,2025-07-14,2025-08-05,4-Close,1.0,Won,2025-08-09,347757718.0,,332900929
OPP00081,ACC0069,LEAD00207,E0163,P001,18,2025-06-23,2025-08-28,4-Close,0.0,Lost,2025-09-09,,Timing / Postponed,78410862
OPP00082,ACC0015,LEAD00208,E0057,P009,21,2025-09-26,2025-11-12,4-Close,0.0,Lost,2025-11-13,,No Budget,33569873
OPP00083,ACC0045,LEAD00210,E0172,P016,72,2024-05-07,2024-07-07,4-Close,0.0,Lost,2024-07-07,,Went With In-house Supply,755011011
OPP00084,ACC0058,LEAD00211,E0014,P017,46,2025-07-05,2025-07-26,4-Close,1.0,Won,2025-08-01,483383130.0,,499390720
OPP00085,ACC0028,LEAD00215,E0100,P001,9,2025-11-03,2026-03-01,2-Develop,0.45,Open,,,,38562278
OPP00086,ACC0049,LEAD00216,E0009,P001,8,2024-06-04,2024-06-22,4-Close,1.0,Won,2024-06-23,33044411.0,,34768886
OPP00087,ACC0070,LEAD00217,E0172,P002,47,2024-04-08,2024-05-08,4-Close,1.0,Won,2024-05-16,253482638.0,,242792261
OPP00088,ACC0028,LEAD00226,E0099,P012,20,2025-04-03,2025-08-26,4-Close,1.0,Won,2025-08-26,64792997.0,,68752722
OPP00089,ACC0058,LEAD00228,E0161,P009,25,2025-09-08,2025-10-04,4-Close,1.0,Won,2025-10-05,43485492.0,,44260490
OPP00090,ACC0001,LEAD00229,E0173,P005,4,2024-02-29,2024-04-02,4-Close,0.0,Lost,2024-04-01,,Went With In-house Supply,35851610
OPP00091,ACC0003,LEAD00234,E0009,P010,66,2025-09-10,2025-10-17,4-Close,0.0,Lost,2025-10-24,,Lost to Competitor,205549592
OPP00092,ACC0070,LEAD00235,E0119,P010,2,2025-12-19,2026-01-19,2-Develop,0.35,Open,,,,5921917
OPP00093,ACC0057,LEAD00241,E0057,P014,26,2025-09-02,2026-01-18,4-Close,0.91,Open,,,,344590857
OPP00094,ACC0021,LEAD00245,E0085,P006,2,2025-05-01,2025-05-28,4-Close,0.0,Lost,2025-05-27,,No Budget,3038815
OPP00095,ACC0045,LEAD00246,E0018,P010,110,2024-06-15,2024-09-01,4-Close,0.0,Lost,2024-09-05,,Timing / Postponed,322363066
OPP00096,ACC0062,LEAD00247,E0099,P004,33,2024-12-17,2025-01-13,4-Close,1.0,Won,2025-01-07,255132911.0,,266320039
OPP00097,ACC0012,LEAD00249,E0018,P014,20,2025-03-04,2025-08-18,4-Close,0.0,Lost,2025-08-23,,Lost to Competitor,248167706
OPP00098,ACC0012,LEAD00250,E0119,P008,20,2024-07-03,2024-10-02,4-Close,0.0,Lost,2024-10-02,,Lost to Competitor,45334010
OPP00099,ACC0012,LEAD00251,E0057,P004,18,2025-06-07,2025-10-31,4-Close,0.0,Lost,2025-11-02,,Lost to Competitor,144462084
OPP00100,ACC0026,LEAD00255,E0163,P005,7,2024-08-13,2024-08-29,4-Close,0.0,Lost,2024-08-29,,Lost to Competitor,65927561
OPP00101,ACC0037,LEAD00262,E0085,P015,17,2024-06-01,2024-07-15,4-Close,0.0,Lost,2024-07-22,,Went With In-house Supply,300002270
OPP00102,ACC0033,LEAD00264,E0052,P005,72,2025-03-05,2025-05-03,4-Close,1.0,Won,2025-05-15,642776342.0,,678129602
OPP00103,ACC0047,LEAD00271,E0032,P017,11,2025-01-26,2025-02-11,4-Close,1.0,Won,2025-02-19,128548265.0,,129811485
OPP00104,ACC0049,LEAD00273,E0161,P002,14,2025-12-30,2026-01-26,1-Qualify,0.08,Open,,,,75549481
OPP00105,ACC0064,LEAD00277,E0096,P001,30,2025-08-19,2025-12-25,4-Close,0.0,Lost,2025-12-19,,Lost to Competitor,136480877
OPP00106,ACC0008,LEAD00279,E0009,P017,58,2025-05-04,2025-06-16,4-Close,1.0,Won,2025-06-16,626805969.0,,669535431
OPP00107,ACC0036,LEAD00280,E0057,P002,192,2024-06-03,2024-07-06,4-Close,1.0,Won,2024-07-06,946888488.0,,962823403
OPP00108,ACC0009,LEAD00281,E0148,P009,5,2025-07-31,2025-08-30,4-Close,0.0,Lost,2025-09-03,,No Budget,8305969
OPP00109,ACC0037,LEAD00285,E0032,P002,242,2025-01-06,2025-02-15,4-Close,0.0,Lost,2025-02-24,,No Budget,1182019189
OPP00110,ACC0018,LEAD00290,E0059,P001,10,2024-07-21,2024-08-17,4-Close,1.0,Won,2024-08-19,39933324.0,,41560975
OPP00111,ACC0045,LEAD00291,E0099,P009,11,2025-04-02,2025-06-06,4-Close,0.0,Lost,2025-06-09,,Timing / Postponed,19613297
OPP00112,ACC0061,LEAD00292,E0028,P015,2,2025-09-24,2025-10-27,4-Close,1.0,Won,2025-10-24,40674156.0,,39403521
OPP00113,ACC0008,LEAD00294,E0119,P012,48,2024-05-11,2024-06-17,4-Close,0.0,Lost,2024-06-20,,Timing / Postponed,160645129
OPP00114,ACC0039,LEAD00295,E0096,P014,61,2025-06-26,2025-07-28,4-Close,0.0,Lost,2025-08-02,,Lost to Competitor,825790685
OPP00115,ACC0068,LEAD00296,E0085,P006,42,2025-03-21,2025-08-17,4-Close,1.0,Won,2025-08-25,66634738.0,,63464607
OPP00116,ACC0047,LEAD00297,E0085,P015,6,2024-09-18,2024-10-19,4-Close,0.0,Lost,2024-10-20,,Lost to Competitor,117572551
OPP00117,ACC0005,LEAD00298,E0028,P010,17,2025-04-16,2025-05-15,4-Close,1.0,Won,2025-05-10,45447531.0,,48116047
OPP00118,ACC0049,LEAD00303,E0057,P004,9,2024-12-22,2025-01-09,4-Close,0.0,Lost,2025-01-09,,Went With In-house Supply,71990171
OPP00119,ACC0012,LEAD00310,E0089,P014,12,2024-12-15,2025-06-07,4-Close,1.0,Won,2025-05-29,162218393.0,,156300742
OPP00120,ACC0070,LEAD00318,E0032,P008,11,2024-01-29,2024-03-19,4-Close,0.0,Lost,2024-03-26,,No Budget,25066736
OPP00121,ACC0018,LEAD00319,E0028,P008,5,2025-08-23,2025-09-12,4-Close,0.0,Lost,2025-09-13,,No Budget,12262608
OPP00122,ACC0057,LEAD00321,E0096,P010,11,2024-07-19,2024-09-18,4-Close,0.0,Lost,2024-09-19,,No Budget,32034326
OPP00123,ACC0041,LEAD00325,E0122,P007,25,2025-02-02,2025-03-02,4-Close,0.0,Lost,2025-03-07,,Price,48361681
OPP00124,ACC0041,LEAD00329,E0163,P011,18,2024-03-11,2024-05-04,4-Close,1.0,Won,2024-05-12,185139064.0,,192610731
OPP00125,ACC0005,LEAD00332,E0172,P009,32,2025-08-27,2025-10-01,4-Close,0.0,Lost,2025-10-06,,Timing / Postponed,51475605
OPP00126,ACC0013,LEAD00336,E0126,P012,11,2025-05-29,2025-06-25,4-Close,1.0,Won,2025-07-03,36262439.0,,38317641
OPP00127,ACC0011,LEAD00346,E0085,P009,19,2024-05-05,2024-07-15,4-Close,0.0,Lost,2024-07-28,,Lost to Competitor,33909593
OPP00128,ACC0056,LEAD00348,E0148,P012,3,2025-09-22,2025-10-25,4-Close,0.0,Lost,2025-10-30,,Went With In-house Supply,9278699
OPP00129,ACC0036,LEAD00353,E0014,P005,13,2025-11-19,2025-12-27,4-Close,0.0,Lost,2025-12-31,,Lost to Competitor,118031528
OPP00130,ACC0039,LEAD00354,E0089,P002,31,2025-02-15,2025-03-05,4-Close,1.0,Won,2025-03-04,141325999.0,,156087877
OPP00131,ACC0030,LEAD00356,E0096,P017,22,2024-06-27,2024-08-13,4-Close,0.0,Lost,2024-08-18,,Went With In-house Supply,270398014
OPP00132,ACC0065,LEAD00357,E0148,P017,12,2025-03-07,2025-04-15,4-Close,1.0,Won,2025-04-18,125197799.0,,134147913
OPP00133,ACC0038,LEAD00359,E0009,P017,49,2025-08-20,2025-09-27,4-Close,1.0,Won,2025-10-01,515681108.0,,527413761
OPP00134,ACC0020,LEAD00373,E0163,P014,7,2025-05-20,2025-06-27,4-Close,0.0,Lost,2025-07-14,,Went With In-house Supply,88071617
OPP00135,ACC0040,LEAD00374,E0089,P013,102,2024-12-14,2025-01-05,4-Close,1.0,Won,2025-01-07,914224904.0,,965104793
OPP00136,ACC0029,LEAD00376,E0028,P011,27,2025-04-22,2025-09-15,4-Close,0.0,Lost,2025-09-14,,Lost to Competitor,263935800
OPP00137,ACC0034,LEAD00379,E0173,P013,58,2024-09-13,2025-01-24,4-Close,0.0,Lost,2025-02-01,,Lost to Competitor,509681897
OPP00138,ACC0062,LEAD00382,E0028,P004,42,2024-12-21,2025-01-23,4-Close,1.0,Won,2025-01-28,348219449.0,,334684740
OPP00139,ACC0037,LEAD00388,E0119,P007,58,2025-04-30,2025-06-17,4-Close,1.0,Won,2025-06-17,112796287.0,,123512091
OPP00140,ACC0009,LEAD00389,E0028,P008,25,2024-05-16,2024-07-08,4-Close,1.0,Won,2024-07-16,53768894.0,,59211202
OPP00141,ACC0068,LEAD00392,E0028,P013,108,2024-03-07,2024-07-02,4-Close,0.0,Lost,2024-06-29,,Price,1071679892
OPP00142,ACC0037,LEAD00397,E0119,P013,89,2024-02-08,2024-03-26,4-Close,0.0,Lost,2024-03-26,,Timing / Postponed,861735538
OPP00143,ACC0019,LEAD00398,E0009,P010,17,2025-08-28,2025-09-16,4-Close,1.0,Won,2025-09-27,51877495.0,,50206974
OPP00144,ACC0021,LEAD00399,E0119,P002,22,2025-11-05,2025-12-01,4-Close,1.0,Won,2025-11-28,119724118.0,,123213887
OPP00145,ACC0020,LEAD00400,E0148,P017,16,2024-10-04,2024-11-09,4-Close,1.0,Won,2024-11-14,191123362.0,,197601624
OPP00146,ACC0069,LEAD00402,E0052,P009,7,2025-01-05,2025-06-09,4-Close,1.0,Won,2025-06-14,10721297.0,,11593392
OPP00147,ACC0067,LEAD00410,E0173,P013,36,2025-10-04,2025-11-08,4-Close,1.0,Won,2025-11-13,339935471.0,,352694354
OPP00148,ACC0004,LEAD00412,E0122,P014,24,2025-02-27,2025-03-18,4-Close,1.0,Won,2025-03-18,274411044.0,,302426204
OPP00149,ACC0052,LEAD00414,E0100,P002,14,2024-09-15,2025-01-28,4-Close,1.0,Won,2025-02-04,71861419.0,,77098310
OPP00150,ACC0056,LEAD00418,E0089,P006,9,2024-04-22,2024-05-08,4-Close,1.0,Won,2024-05-17,12901709.0,,12912418
OPP00151,ACC0052,LEAD00420,E0172,P015,22,2025-05-31,2025-09-15,4-Close,0.0,Lost,2025-09-30,,Price,429107314
OPP00152,ACC0017,LEAD00421,E0126,P006,34,2025-04-06,2025-05-22,4-Close,0.0,Lost,2025-05-16,,Went With In-house Supply,49041132
OPP00153,ACC0021,LEAD00423,E0028,P001,30,2025-07-27,2025-09-02,4-Close,0.0,Lost,2025-09-09,,Lost to Competitor,131877595
OPP00154,ACC0012,LEAD00428,E0009,P004,35,2024-01-16,2024-03-17,4-Close,1.0,Won,2024-03-18,275758533.0,,278153877
OPP00155,ACC0048,LEAD00430,E0089,P002,30,2025-04-15,2025-05-13,4-Close,0.0,Lost,2025-05-18,,Price,158884846
OPP00156,ACC0014,LEAD00432,E0018,P008,3,2025-04-21,2025-05-28,4-Close,0.0,Lost,2025-05-20,,Timing / Postponed,6840777
OPP00157,ACC0057,LEAD00434,E0126,P015,12,2024-03-23,2024-09-16,4-Close,1.0,Won,2024-09-24,212463617.0,,235636091
OPP00158,ACC0070,LEAD00437,E0057,P013,78,2024-08-03,2024-09-02,4-Close,1.0,Won,2024-09-03,736613053.0,,754723364
OPP00159,ACC0021,LEAD00438,E0172,P010,16,2024-06-14,2024-07-10,4-Close,1.0,Won,2024-07-09,53134329.0,,50848058
OPP00160,ACC0007,LEAD00451,E0089,P001,72,2025-07-18,2025-10-09,4-Close,0.0,Lost,2025-10-11,,Lost to Competitor,291233969
OPP00161,ACC0035,LEAD00453,E0059,P014,26,2025-03-30,2025-05-02,4-Close,1.0,Won,2025-05-02,347728372.0,,354055670
OPP00162,ACC0021,LEAD00454,E0032,P011,27,2024-08-05,2024-08-25,4-Close,0.0,Lost,2024-08-17,,No Budget,262681430
OPP00163,ACC0056,LEAD00460,E0163,P001,9,2025-06-02,2025-06-17,4-Close,0.0,Lost,2025-06-20,,Timing / Postponed,36305653
OPP00164,ACC0015,LEAD00461,E0119,P001,79,2025-01-08,2025-03-02,4-Close,0.0,Lost,2025-03-08,,No Budget,339309319
OPP00165,ACC0038,LEAD00464,E0126,P003,77,2024-09-23,2024-11-16,4-Close,1.0,Won,2024-11-12,461773729.0,,455807396
OPP00166,ACC0028,LEAD00468,E0100,P004,10,2024-07-14,2024-09-20,4-Close,0.0,Lost,2024-09-24,,Timing / Postponed,78741610
OPP00167,ACC0015,LEAD00471,E0122,P010,23,2024-07-29,2024-08-18,4-Close,1.0,Won,2024-09-02,72158280.0,,72962369
OPP00168,ACC0046,LEAD00474,E0099,P006,19,2024-10-30,2025-01-06,4-Close,0.0,Lost,2025-01-11,,Went With In-house Supply,29943038
OPP00169,ACC0035,LEAD00477,E0161,P013,46,2025-05-29,2025-06-26,4-Close,1.0,Won,2025-06-20,386644395.0,,407852258
OPP00170,ACC0047,LEAD00483,E0173,P002,8,2025-01-07,2025-01-22,4-Close,0.0,Lost,2025-01-21,,Lost to Competitor,41556688
OPP00171,ACC0063,LEAD00484,E0089,P007,15,2024-11-26,2025-03-22,4-Close,0.0,Lost,2025-03-18,,No Budget,28065309
OPP00172,ACC0044,LEAD00486,E0085,P009,25,2024-07-30,2024-09-02,4-Close,1.0,Won,2024-08-28,37725142.0,,41351571
OPP00173,ACC0046,LEAD00487,E0085,P016,7,2024-09-28,2025-01-22,4-Close,0.0,Lost,2025-01-22,,Timing / Postponed,74142007
OPP00174,ACC0049,LEAD00488,E0018,P012,39,2024-02-16,2024-03-14,4-Close,1.0,Won,2024-03-24,112101778.0,,121681519
OPP00175,ACC0039,LEAD00489,E0161,P003,26,2024-08-17,2024-09-15,4-Close,1.0,Won,2024-09-08,169593503.0,,164217977
OPP00176,ACC0069,LEAD00495,E0014,P016,28,2024-09-12,2025-01-04,4-Close,0.0,Lost,2025-01-14,,No Budget,302251620
OPP00177,ACC0010,LEAD00496,E0119,P007,12,2024-07-02,2024-08-08,4-Close,1.0,Won,2024-08-05,23774993.0,,23064591
OPP00178,ACC0056,LEAD00497,E0119,P011,304,2025-11-05,2025-12-13,4-Close,1.0,Won,2025-12-18,2856600239.0,,2856042900
OPP00179,ACC0025,LEAD00500,E0100,P013,122,2025-03-08,2025-05-07,4-Close,0.0,Lost,2025-05-09,,Lost to Competitor,1173590659
OPP00180,ACC0007,LEAD00501,E0096,P014,39,2024-04-19,2024-07-27,4-Close,1.0,Won,2024-08-06,489551214.0,,532497257
OPP00181,ACC0059,LEAD00507,E0122,P004,6,2025-09-29,2025-11-10,4-Close,1.0,Won,2025-11-13,44332930.0,,44249496
OPP00182,ACC0068,LEAD00513,E0122,P004,26,2024-12-31,2025-03-29,4-Close,1.0,Won,2025-04-03,197825500.0,,191516844
OPP00183,ACC0036,LEAD00514,E0172,P015,28,2025-08-17,2025-09-24,4-Close,0.0,Lost,2025-09-26,,No Budget,524750822
OPP00184,ACC0007,LEAD00515,E0014,P003,15,2025-09-04,2025-11-05,4-Close,0.0,Lost,2025-10-31,,Lost to Competitor,85133411
OPP00185,ACC0037,LEAD00516,E0100,P009,96,2024-05-20,2024-06-20,4-Close,0.0,Lost,2024-07-01,,Price,153316252
OPP00186,ACC0034,LEAD00519,E0163,P011,5,2024-10-05,2024-12-20,4-Close,0.0,Lost,2024-12-22,,No Budget,47374782
OPP00187,ACC0053,LEAD00521,E0085,P009,44,2024-07-02,2024-08-05,4-Close,0.0,Lost,2024-08-22,,Timing / Postponed,70157195
OPP00188,ACC0049,LEAD00522,E0100,P016,21,2024-12-22,2025-01-13,4-Close,1.0,Won,2025-01-26,202458843.0,,224321147
OPP00189,ACC0022,LEAD00527,E0172,P003,24,2025-11-07,2026-01-03,4-Close,0.85,Open,,,,155210251
OPP00190,ACC0041,LEAD00529,E0100,P015,12,2025-03-01,2025-04-09,4-Close,1.0,Won,2025-04-08,217163251.0,,217746522
