date,line_id,product_id,planned_units,produced_units,scrap_units,downtime_minutes
2024-06-15,L1,P003,20,20,0,39
2024-06-16,L1,P002,31,30,1,27
2024-06-16,L3,P012,28,28,0,32
2024-06-17,L4,P016,10,10,0,35
2024-06-19,L3,P012,11,11,0,0
2024-06-20,L2,P008,15,15,0,55
2024-06-21,L3,P011,4,4,0,23
2024-06-22,L4,P014,24,23,1,15
2024-06-22,L4,P015,24,24,0,5
2024-06-23,L1,P001,9,9,0,9
2024-06-23,L3,P010,28,27,0,52
2024-06-23,L3,P012,27,26,0,57
2024-06-23,L4,P016,23,23,0,41
2024-06-24,L2,P008,12,12,0,0
2024-06-24,L3,P010,28,28,0,6
2024-06-24,L4,P014,17,17,0,41
2024-06-25,L1,P003,27,26,1,0
2024-06-25,L4,P015,11,11,0,32
2024-06-26,L1,P001,31,30,1,19
2024-06-26,L1,P002,10,10,0,31
2024-06-26,L3,P011,28,27,1,14
2024-06-28,L1,P001,12,12,0,51
2024-06-28,L2,P006,15,14,0,79
2024-06-30,L4,P013,15,15,0,28
2024-06-30,L4,P016,9,9,0,30
2024-06-30,L4,P017,18,18,0,18
2024-07-02,L1,P004,15,15,0,0
2024-07-03,L3,P012,28,28,0,5
2024-07-04,L4,P015,7,7,0,44
2024-07-05,L4,P015,13,13,0,8
2024-07-06,L1,P002,31,30,1,2
2024-07-08,L1,P005,9,9,0,50
2024-07-08,L2,P008,15,15,0,46
2024-07-09,L3,P010,18,18,0,45
2024-07-11,L1,P005,31,31,0,9
2024-07-11,L4,P014,24,24,0,4
2024-07-11,L4,P015,9,9,0,44
2024-07-14,L2,P006,15,15,0,30
2024-07-14,L3,P011,28,28,0,0
2024-07-16,L1,P003,31,30,1,4
2024-07-16,L2,P008,15,15,0,0
2024-07-17,L3,P009,28,26,1,50
2024-07-18,L3,P012,23,22,0,53
2024-07-22,L3,P009,28,27,1,6
2024-07-24,L2,P008,9,9,0,8
2024-07-24,L3,P010,28,27,1,22
2024-07-25,L3,P012,5,5,0,51
2024-07-27,L1,P003,31,30,1,42
2024-07-27,L3,P012,15,15,0,37
2024-07-28,L1,P002,8,8,0,8
2024-07-28,L2,P007,11,11,0,14
2024-07-28,L3,P010,7,7,0,37
2024-07-29,L2,P006,15,15,0,35
2024-07-30,L4,P015,24,23,0,55
2024-07-31,L3,P012,12,12,0,19
2024-07-31,L4,P015,24,23,1,22
2024-07-31,L4,P017,8,8,0,52
2024-08-01,L2,P007,15,15,0,20
2024-08-01,L4,P015,24,23,1,26
2024-08-02,L1,P005,10,10,0,42
2024-08-02,L4,P017,24,23,1,0
2024-08-04,L4,P014,24,23,1,31
2024-08-05,L2,P007,13,13,0,26
2024-08-06,L4,P014,24,24,0,39
2024-08-08,L4,P014,24,24,0,26
2024-08-09,L3,P009,28,27,1,22
2024-08-10,L2,P006,15,15,0,40
2024-08-10,L2,P008,15,15,0,27
2024-08-10,L3,P012,28,27,0,42
2024-08-11,L4,P013,24,23,1,20
2024-08-13,L1,P004,31,30,1,18
2024-08-17,L3,P011,25,24,0,55
2024-08-17,L4,P014,24,22,1,52
2024-08-18,L1,P003,22,21,1,29
2024-08-18,L4,P014,21,20,0,52
2024-08-19,L1,P001,11,11,0,39
2024-08-21,L1,P004,31,30,1,12
2024-08-22,L1,P004,7,7,0,38
2024-08-22,L3,P011,16,16,0,34
2024-08-22,L4,P015,10,10,0,4
2024-08-23,L1,P003,12,12,0,30
2024-08-23,L1,P005,8,8,0,12
2024-08-23,L3,P009,28,28,0,24
2024-08-24,L3,P012,28,27,1,16
2024-08-27,L2,P006,15,15,0,8
2024-08-28,L3,P009,27,25,1,46
2024-08-29,L4,P015,24,23,1,0
2024-08-29,L4,P016,19,18,1,10
2024-08-30,L2,P008,15,15,0,27
2024-08-31,L1,P004,27,27,0,0
2024-08-31,L2,P007,15,15,0,13
2024-08-31,L3,P011,26,26,0,11
2024-09-01,L1,P003,12,12,0,23
2024-09-02,L3,P010,25,24,1,22
2024-09-03,L1,P003,22,22,0,0
2024-09-03,L4,P013,24,24,0,7
2024-09-03,L4,P014,24,24,0,36
2024-09-05,L3,P010,28,27,1,18
2024-09-07,L4,P016,24,23,0,43
2024-09-08,L1,P003,31,30,1,41
2024-09-09,L2,P006,15,15,0,26
2024-09-09,L3,P012,8,8,0,29
2024-09-10,L2,P007,15,15,0,13
2024-09-10,L4,P014,24,24,0,4
2024-09-11,L1,P002,31,30,1,34
2024-09-11,L2,P007,15,15,0,10
2024-09-11,L3,P009,28,26,1,37
2024-09-12,L1,P002,31,30,0,51
2024-09-12,L4,P015,24,23,1,13
2024-09-13,L4,P015,22,21,1,7
2024-09-16,L1,P002,31,31,0,0
2024-09-16,L3,P009,28,28,0,21
2024-09-17,L1,P004,31,30,0,52
2024-09-18,L3,P009,11,11,0,24
2024-09-19,L2,P006,15,15,0,23
2024-09-19,L4,P014,24,24,0,14
2024-09-20,L2,P007,6,6,0,7
2024-09-21,L1,P005,15,15,0,29
2024-09-21,L4,P014,22,22,0,28
2024-09-22,L2,P007,15,15,0,33
2024-09-23,L3,P010,12,12,0,50
2024-09-24,L4,P015,13,13,0,11
2024-09-25,L4,P016,6,6,0,57
2024-09-27,L4,P017,7,7,0,0
2024-09-30,L3,P011,7,7,0,50
2024-10-01,L1,P001,31,30,1,4
2024-10-01,L2,P008,15,15,0,11
2024-10-01,L4,P014,9,9,0,50
2024-10-02,L1,P004,20,19,1,35
2024-10-02,L2,P008,15,15,0,2
2024-10-02,L3,P010,28,26,1,46
2024-10-03,L1,P002,22,21,1,17
2024-10-03,L4,P013,24,24,0,15
2024-10-04,L1,P001,16,16,0,8
2024-10-04,L3,P011,15,15,0,28
2024-10-05,L1,P005,31,31,0,0
2024-10-05,L4,P017,9,9,0,31
2024-10-07,L4,P017,24,24,0,12
2024-10-08,L2,P008,15,15,0,15
2024-10-09,L1,P003,17,17,0,40
2024-10-10,L2,P006,15,15,0,38
2024-10-11,L3,P009,28,27,0,62
2024-10-12,L2,P008,15,15,0,25
2024-10-13,L1,P003,7,7,0,16
2024-10-13,L2,P006,15,15,0,37
2024-10-13,L4,P016,24,24,0,22
2024-10-15,L1,P003,31,29,1,66
2024-10-19,L3,P009,23,22,1,13
2024-10-20,L1,P004,16,16,0,7
2024-10-20,L4,P016,24,23,1,0
2024-10-21,L1,P003,18,18,0,23
2024-10-22,L4,P016,24,23,1,33
2024-10-23,L3,P009,28,27,1,33
2024-10-24,L4,P017,13,13,0,3
2024-10-25,L3,P009,24,24,0,0
2024-10-29,L3,P009,28,27,0,61
2024-10-29,L4,P013,23,23,0,0
2024-10-29,L4,P015,24,24,0,33
2024-10-30,L2,P006,15,15,0,43
2024-10-30,L3,P011,28,27,1,7
2024-11-01,L1,P001,31,30,1,16
2024-11-03,L4,P016,12,12,0,50
2024-11-04,L3,P009,28,27,0,49
2024-11-04,L4,P017,16,16,0,18
2024-11-05,L3,P009,28,27,1,5
2024-11-07,L3,P011,25,23,1,48
2024-11-09,L4,P015,8,8,0,37
2024-11-12,L1,P003,31,31,0,7
2024-11-13,L1,P003,16,16,0,22
2024-11-13,L4,P016,24,23,1,24
2024-11-14,L4,P016,24,24,0,3
2024-11-14,L4,P017,18,17,1,29
2024-11-15,L3,P011,28,27,1,0
2024-11-16,L4,P014,11,11,0,39
2024-11-20,L2,P006,11,11,0,28
2024-11-23,L2,P007,10,10,0,26
2024-11-23,L3,P012,25,24,1,0
2024-11-23,L4,P013,24,24,0,32
2024-11-23,L4,P017,24,23,0,50
2024-11-24,L2,P006,12,12,0,38
2024-11-26,L2,P008,15,15,0,16
2024-11-27,L2,P008,15,14,1,52
2024-11-28,L3,P011,28,26,1,52
2024-11-29,L2,P006,15,15,0,14
2024-11-30,L2,P007,15,15,0,0
2024-12-01,L1,P004,29,28,1,22
2024-12-01,L2,P008,15,14,1,22
2024-12-02,L1,P004,17,16,1,0
2024-12-04,L4,P013,24,23,1,25
2024-12-05,L1,P002,12,12,0,44
2024-12-05,L2,P006,15,15,0,43
2024-12-07,L1,P003,31,30,1,43
2024-12-08,L1,P002,31,30,1,34
2024-12-08,L3,P011,28,27,1,23
2024-12-08,L3,P012,26,25,1,0
2024-12-10,L1,P002,31,30,1,26
2024-12-10,L1,P003,31,30,1,10
2024-12-10,L1,P004,7,7,0,19
2024-12-10,L2,P006,11,11,0,2
2024-12-11,L2,P006,10,10,0,13
2024-12-11,L3,P010,16,16,0,22
2024-12-12,L1,P001,31,30,1,0
2024-12-13,L3,P011,28,28,0,0
2024-12-17,L1,P004,31,29,1,50
2024-12-17,L3,P011,6,6,0,32
2024-12-17,L4,P015,24,23,1,24
2024-12-18,L3,P009,28,27,1,12
2024-12-18,L3,P012,27,26,1,31
2024-12-18,L4,P014,19,19,0,25
2024-12-19,L2,P007,15,15,0,10
2024-12-19,L4,P016,24,23,0,48
2024-12-20,L1,P002,31,30,1,35
2024-12-22,L2,P007,15,14,1,34
2024-12-23,L4,P017,24,22,1,42
2024-12-24,L1,P005,18,17,1,29
2024-12-24,L3,P012,28,27,1,0
2024-12-25,L2,P006,15,15,0,17
2024-12-25,L3,P012,28,27,1,22
2024-12-26,L1,P003,16,16,0,22
2024-12-26,L4,P014,12,12,0,6
2024-12-27,L1,P004,16,16,0,2
2024-12-28,L1,P004,20,20,0,35
2024-12-28,L2,P007,15,15,0,27
2024-12-30,L1,P004,19,19,0,6
2024-12-30,L3,P012,28,27,0,46
2024-12-31,L1,P002,18,18,0,18
2025-01-01,L1,P003,8,8,0,49
2025-01-01,L1,P004,31,30,1,1
2025-01-01,L3,P010,22,22,0,17
2025-01-03,L1,P002,31,30,1,13
2025-01-03,L2,P006,15,15,0,37
2025-01-03,L4,P014,5,5,0,25
2025-01-04,L1,P004,31,30,1,27
2025-01-07,L1,P002,31,30,0,50
2025-01-07,L1,P004,31,31,0,26
2025-01-07,L2,P008,15,15,0,9
2025-01-07,L4,P013,24,23,1,34
2025-01-08,L1,P002,18,18,0,17
2025-01-08,L1,P003,31,30,1,23
2025-01-08,L1,P005,17,17,0,10
2025-01-09,L1,P005,10,10,0,22
2025-01-10,L1,P001,31,29,1,70
2025-01-11,L1,P005,10,10,0,50
2025-01-12,L4,P013,24,23,1,0
2025-01-14,L1,P001,29,29,0,44
2025-01-14,L1,P005,31,30,1,10
2025-01-14,L2,P008,9,9,0,27
2025-01-14,L4,P015,13,13,0,26
2025-01-15,L3,P012,13,13,0,27
2025-01-16,L1,P004,10,10,0,20
2025-01-16,L4,P015,17,17,0,56
2025-01-18,L2,P006,15,15,0,11
2025-01-18,L4,P016,24,23,1,1
2025-01-20,L1,P002,18,18,0,17
2025-01-20,L3,P010,20,20,0,13
2025-01-21,L1,P004,31,31,0,28
2025-01-21,L3,P012,22,21,0,52
2025-01-22,L4,P017,24,23,1,1
2025-01-26,L1,P004,31,30,1,10
2025-01-26,L2,P006,12,12,0,49
2025-01-26,L4,P014,24,23,0,67
2025-01-26,L4,P016,23,23,0,31
2025-01-27,L2,P008,12,12,0,9
2025-01-27,L4,P017,24,23,0,45
2025-01-28,L1,P001,2,2,0,8
2025-01-28,L1,P003,20,19,0,81
2025-01-28,L1,P004,31,30,1,12
2025-01-28,L2,P008,15,15,0,46
2025-01-29,L4,P015,7,7,0,22
2025-01-30,L2,P007,15,15,0,16
2025-02-01,L2,P006,15,15,0,50
2025-02-03,L1,P004,12,12,0,23
2025-02-03,L3,P012,28,26,1,37
2025-02-04,L1,P002,16,16,0,12
2025-02-04,L1,P005,24,23,1,5
2025-02-05,L1,P004,31,31,0,31
2025-02-06,L1,P003,31,30,1,44
2025-02-07,L3,P009,28,28,0,22
2025-02-08,L1,P005,31,30,1,25
2025-02-09,L2,P006,15,15,0,41
2025-02-11,L4,P015,24,23,1,22
2025-02-12,L1,P003,31,30,1,37
2025-02-13,L1,P003,8,8,0,13
2025-02-13,L2,P006,15,15,0,13
2025-02-16,L4,P016,24,23,1,18
2025-02-17,L3,P009,28,27,1,19
2025-02-18,L1,P002,11,11,0,0
2025-02-18,L2,P007,6,6,0,18
2025-02-19,L4,P015,24,24,0,34
2025-02-19,L4,P017,12,12,0,34
2025-02-24,L4,P015,24,23,1,13
2025-02-26,L1,P002,22,21,1,8
2025-02-27,L1,P002,19,19,0,26
2025-02-28,L1,P003,15,15,0,52
2025-03-04,L1,P002,31,30,1,39
2025-03-05,L4,P016,24,24,0,0
2025-03-06,L3,P010,12,12,0,42
2025-03-10,L1,P003,31,30,1,46
2025-03-12,L4,P017,24,23,1,29
2025-03-13,L4,P016,19,19,0,11
2025-03-14,L4,P015,24,23,1,0
2025-03-15,L1,P005,31,30,1,7
2025-03-15,L2,P008,8,8,0,3
2025-03-15,L4,P013,16,15,1,0
2025-03-17,L2,P006,15,15,0,26
2025-03-17,L2,P007,15,15,0,2
2025-03-18,L4,P014,24,24,0,0
2025-03-18,L4,P017,17,17,0,16
2025-03-20,L2,P008,13,13,0,4
2025-03-22,L1,P005,31,30,1,19
2025-03-22,L2,P007,15,15,0,25
2025-03-22,L4,P014,13,13,0,42
2025-03-23,L2,P007,11,11,0,22
2025-03-23,L4,P014,19,19,0,32
2025-03-24,L3,P009,28,26,1,35
2025-03-26,L2,P006,15,15,0,40
2025-03-26,L4,P014,22,22,0,29
2025-03-27,L1,P001,15,15,0,0
2025-03-27,L3,P012,28,28,0,28
2025-03-28,L3,P012,28,27,1,7
2025-03-31,L1,P003,31,29,1,47
2025-04-01,L3,P010,28,27,0,37
2025-04-01,L4,P013,11,11,0,35
2025-04-02,L2,P006,15,15,0,49
2025-04-03,L1,P004,29,28,1,46
2025-04-03,L3,P010,28,27,1,19
2025-04-03,L3,P012,6,6,0,33
2025-04-04,L4,P013,24,23,1,22
2025-04-05,L1,P005,27,26,1,16
2025-04-05,L3,P010,28,27,1,31
2025-04-07,L1,P001,17,17,0,24
2025-04-07,L2,P007,15,15,0,47
2025-04-07,L4,P017,24,24,0,14
2025-04-08,L1,P001,8,8,0,38
2025-04-08,L4,P015,13,13,0,15
2025-04-09,L2,P007,15,15,0,17
2025-04-09,L4,P013,24,24,0,19
2025-04-09,L4,P016,11,11,0,25
2025-04-11,L1,P004,10,10,0,5
2025-04-13,L4,P015,24,24,0,15
2025-04-14,L4,P014,21,20,1,28
2025-04-16,L1,P003,16,16,0,27
2025-04-16,L1,P004,31,30,1,37
2025-04-16,L4,P013,10,10,0,18
2025-04-18,L3,P012,23,23,0,28
2025-04-18,L4,P017,13,13,0,40
2025-04-21,L1,P001,29,28,1,39
2025-04-21,L2,P008,15,15,0,4
2025-04-21,L3,P012,12,12,0,26
2025-04-24,L3,P009,28,27,0,47
2025-04-26,L3,P009,28,26,1,55
2025-04-27,L1,P001,31,31,0,36
2025-04-27,L1,P003,31,30,1,21
2025-04-27,L4,P014,15,14,1,51
2025-04-27,L4,P016,15,15,0,59
2025-04-30,L1,P001,31,31,0,28
2025-05-01,L2,P007,15,15,0,26
2025-05-02,L2,P008,15,15,0,0
2025-05-02,L4,P013,3,3,0,39
2025-05-02,L4,P014,24,23,1,16
2025-05-03,L3,P010,13,13,0,9
2025-05-03,L4,P015,9,9,0,21
2025-05-05,L1,P002,31,30,1,0
2025-05-05,L1,P005,20,20,0,20
2025-05-05,L2,P006,15,15,0,10
2025-05-05,L4,P014,24,24,0,38
2025-05-05,L4,P016,24,24,0,24
2025-05-06,L1,P001,4,4,0,18
2025-05-06,L2,P008,15,15,0,40
2025-05-07,L1,P001,31,30,1,20
2025-05-08,L3,P009,8,8,0,25
2025-05-08,L3,P011,28,27,1,32
2025-05-10,L1,P004,18,18,0,30
2025-05-10,L3,P010,19,19,0,10
2025-05-10,L4,P014,12,12,0,40
2025-05-11,L2,P008,15,15,0,28
2025-05-12,L1,P004,27,27,0,49
2025-05-12,L3,P010,28,28,0,22
2025-05-13,L4,P014,18,18,0,29
2025-05-14,L1,P003,31,31,0,29
2025-05-15,L1,P005,31,31,0,18
2025-05-16,L4,P017,24,24,0,37
2025-05-19,L1,P002,13,13,0,14
2025-05-20,L1,P004,11,11,0,37
2025-05-22,L1,P005,31,30,1,26
2025-05-24,L2,P007,15,15,0,20
2025-05-24,L4,P016,24,23,1,13
2025-05-28,L4,P017,13,13,0,28
2025-05-29,L1,P002,22,21,1,16
2025-05-29,L4,P014,13,13,0,25
2025-05-30,L4,P016,24,23,1,4
2025-05-31,L1,P004,17,17,0,53
2025-05-31,L3,P012,15,15,0,9
2025-05-31,L4,P016,24,23,0,41
2025-06-01,L3,P010,28,27,1,15
2025-06-02,L3,P012,12,12,0,13
2025-06-03,L1,P005,29,28,1,27
2025-06-03,L2,P007,15,15,0,41
2025-06-06,L2,P007,15,15,0,0
2025-06-07,L1,P003,31,31,0,15
2025-06-07,L3,P012,13,13,0,45
2025-06-08,L1,P001,31,30,1,24
2025-06-09,L2,P008,15,14,1,29
2025-06-09,L3,P012,19,19,0,8
2025-06-09,L4,P014,24,23,0,43
2025-06-11,L4,P014,24,24,0,11
2025-06-14,L1,P001,12,12,0,44
2025-06-14,L3,P009,8,8,0,53
2025-06-14,L3,P010,15,15,0,26
2025-06-15,L1,P001,30,29,1,32
2025-06-16,L2,P007,11,11,0,30
2025-06-16,L4,P017,24,24,0,0
2025-06-17,L2,P007,15,15,0,12
2025-06-17,L4,P016,22,21,1,27
2025-06-18,L2,P006,15,15,0,24
2025-06-20,L1,P002,31,31,0,32
2025-06-20,L1,P003,13,13,0,9
2025-06-20,L4,P013,24,24,0,0
2025-06-21,L3,P012,28,28,0,20
2025-06-21,L4,P014,8,8,0,9
2025-06-24,L1,P003,31,30,1,43
2025-06-24,L2,P007,15,15,0,10
2025-06-24,L3,P010,28,28,0,22
2025-06-27,L4,P017,24,24,0,19
2025-06-29,L1,P002,25,25,0,10
2025-06-29,L1,P004,19,19,0,25
2025-07-01,L3,P010,21,21,0,12
2025-07-01,L4,P015,15,15,0,52
2025-07-02,L1,P005,31,30,1,24
2025-07-03,L1,P003,31,30,1,19
2025-07-03,L3,P012,12,12,0,0
2025-07-05,L3,P012,8,8,0,7
2025-07-07,L1,P004,31,30,1,44
2025-07-08,L2,P006,15,15,0,14
2025-07-08,L4,P015,24,24,0,14
2025-07-09,L3,P012,28,28,0,15
2025-07-11,L1,P002,16,16,0,0
2025-07-12,L3,P012,10,10,0,16
2025-07-12,L4,P017,24,24,0,0
2025-07-13,L1,P004,13,13,0,6
2025-07-13,L3,P011,28,26,1,39
2025-07-14,L1,P002,31,30,1,27
2025-07-15,L3,P012,20,20,0,0
2025-07-17,L2,P007,15,15,0,24
2025-07-19,L2,P008,15,15,0,0
2025-07-19,L3,P009,4,4,0,30
2025-07-19,L3,P011,28,28,0,29
2025-07-19,L4,P015,24,24,0,38
2025-07-20,L1,P003,31,30,1,15
2025-07-20,L3,P012,28,28,0,3
2025-07-23,L1,P003,13,13,0,14
2025-07-23,L4,P014,24,24,0,15
2025-07-24,L2,P008,13,13,0,0
2025-07-26,L3,P009,21,21,0,29
2025-07-26,L3,P010,28,27,1,9
2025-07-27,L1,P002,31,30,1,27
2025-07-27,L2,P006,15,15,0,29
2025-07-27,L3,P012,13,13,0,23
2025-07-28,L1,P003,31,31,0,32
2025-07-29,L1,P003,9,9,0,42
2025-07-31,L1,P004,24,24,0,19
2025-08-01,L4,P017,24,23,1,24
2025-08-03,L3,P010,28,27,1,19
2025-08-04,L4,P017,24,23,1,10
2025-08-06,L3,P011,28,27,1,13
2025-08-06,L4,P016,24,24,0,29
2025-08-07,L2,P008,8,8,0,28
2025-08-09,L1,P001,31,31,0,20
2025-08-09,L1,P003,31,29,1,50
2025-08-09,L3,P011,28,28,0,28
2025-08-10,L2,P006,15,15,0,28
2025-08-12,L4,P017,19,18,1,34
2025-08-13,L3,P010,16,16,0,33
2025-08-13,L4,P015,24,24,0,0
2025-08-14,L1,P004,31,30,1,3
2025-08-14,L3,P011,28,27,1,23
2025-08-15,L2,P007,15,15,0,34
2025-08-16,L3,P010,28,27,0,36
2025-08-18,L3,P009,13,13,0,32
2025-08-20,L4,P014,24,23,1,20
2025-08-21,L2,P008,15,15,0,13
2025-08-22,L3,P012,28,26,1,45
2025-08-23,L4,P014,24,23,1,11
2025-08-23,L4,P016,10,10,0,41
2025-08-24,L4,P013,24,24,0,11
2025-08-24,L4,P016,24,23,1,28
2025-08-25,L2,P006,15,15,0,39
2025-08-25,L2,P007,15,15,0,47
2025-08-25,L4,P016,24,23,1,27
2025-08-26,L1,P005,31,29,1,49
2025-08-26,L3,P012,28,28,0,15
2025-08-26,L4,P017,22,22,0,29
2025-08-29,L4,P016,4,4,0,46
2025-09-02,L1,P003,17,17,0,6
2025-09-02,L3,P010,6,6,0,20
2025-09-03,L4,P015,11,11,0,43
2025-09-03,L4,P016,24,24,0,0
2025-09-03,L4,P017,22,22,0,17
2025-09-07,L1,P003,25,25,0,50
2025-09-09,L3,P011,28,26,1,43
2025-09-10,L4,P016,24,23,1,33
2025-09-12,L2,P007,15,15,0,23
2025-09-12,L3,P009,28,27,1,7
2025-09-14,L3,P010,28,28,0,0
2025-09-15,L2,P006,15,15,0,15
2025-09-15,L3,P012,21,20,1,37
2025-09-16,L4,P016,24,23,1,0
2025-09-17,L2,P007,8,8,0,11
2025-09-18,L3,P009,28,26,1,48
2025-09-21,L1,P004,31,31,0,19
2025-09-21,L4,P016,12,12,0,27
2025-09-23,L3,P009,28,27,0,39
2025-09-23,L3,P010,28,26,1,59
2025-09-24,L3,P010,28,26,1,57
2025-09-25,L1,P001,8,8,0,55
