lead_id,created_date,source,owner,status,qualified_date,disqualify_reason
LEAD00056,2024-07-20,Trade Show,E0122,Qualified,2024-07-31,
LEAD00057,2025-06-05,Cold Outreach,E0099,Qualified,2025-06-23,
LEAD00058,2025-05-13,Trade Show,E0032,Qualified,2025-06-02,
LEAD00059,2024-08-19,Trade Show,E0052,Qualified,2024-08-31,
LEAD00060,2025-07-14,Partner Channel,E0052,Qualified,2025-07-28,
LEAD00061,2025-04-23,Cold Outreach,E0119,Qualified,2025-05-10,
LEAD00062,2024-07-29,Cold Outreach,E0059,Qualified,2024-08-16,
LEAD00063,2024-09-08,Web Inquiry,E0096,Qualified,2024-09-18,
LEAD00064,2024-04-16,Partner Channel,E0100,Qualified,2024-04-27,
LEAD00065,2024-10-18,Web Inquiry,E0173,Qualified,2024-10-30,
LEAD00066,2025-07-17,Cold Outreach,E0163,Disqualified,2025-07-31,No Budget
LEAD00067,2025-03-04,Partner Channel,E0052,Disqualified,2025-03-15,Unresponsive
LEAD00068,2024-11-27,Referral,E0119,Disqualified,2024-11-30,No Budget
LEAD00069,2025-09-01,Partner Channel,E0018,Disqualified,2025-09-15,Wrong Fit
LEAD00070,2024-07-29,Trade Show,E0032,Qualified,2024-08-02,
LEAD00071,2024-05-16,Trade Show,E0028,Disqualified,2024-06-05,No Budget
LEAD00072,2024-06-03,Cold Outreach,E0057,Qualified,2024-06-05,
LEAD00073,2024-11-15,Referral,E0119,Disqualified,2024-12-05,Wrong Fit
LEAD00074,2025-12-19,Trade Show,E0096,Disqualified,2025-12-30,Went With Competitor
LEAD00075,2025-02-07,Trade Show,E0018,Disqualified,2025-02-14,Unresponsive
LEAD00076,2025-04-16,Cold Outreach,E0014,Disqualified,2025-04-23,No Budget
LEAD00077,2025-09-06,Referral,E0059,Disqualified,2025-09-24,Wrong Fit
LEAD00078,2025-01-16,Partner Channel,E0126,Qualified,2025-01-23,
LEAD00079,2025-02-21,Partner Channel,E0163,Disqualified,2025-02-24,No Longer Interested
LEAD00080,2024-03-24,Cold Outreach,E0057,Qualified,2024-04-09,
LEAD00081,2024-08-02,Trade Show,E0014,Disqualified,2024-08-12,Unresponsive
LEAD00082,2025-10-28,Trade Show,E0172,Disqualified,2025-11-09,Wrong Fit
LEAD00083,2025-06-24,Web Inquiry,E0126,Disqualified,2025-07-11,No Longer Interested
LEAD00084,2024-08-30,Cold Outreach,E0148,Disqualified,2024-09-17,Wrong Fit
LEAD00085,2025-03-13,Trade Show,E0163,Disqualified,2025-03-31,Went With Competitor
LEAD00086,2025-07-31,Referral,E0100,Qualified,2025-08-06,
LEAD00087,2024-02-09,Cold Outreach,E0089,Qualified,2024-02-18,
LEAD00088,2025-10-22,Referral,E0119,Disqualified,2025-11-06,No Longer Interested
LEAD00089,2024-07-18,Cold Outreach,E0014,Qualified,2024-07-22,
LEAD00090,2024-05-30,Web Inquiry,E0119,Qualified,2024-06-19,
LEAD00091,2025-10-20,Web Inquiry,E0052,Disqualified,2025-11-04,Wrong Fit
LEAD00092,2025-12-14,Cold Outreach,E0148,Open,,
LEAD00093,2024-05-01,Referral,E0163,Disqualified,2024-05-14,Wrong Fit
LEAD00094,2025-10-14,Trade Show,E0122,Qualified,2025-10-21,
LEAD00095,2025-02-04,Referral,E0014,Disqualified,2025-02-16,No Budget
LEAD00096,2025-02-17,Cold Outreach,E0119,Disqualified,2025-03-07,Went With Competitor
LEAD00097,2024-12-10,Referral,E0096,Qualified,2024-12-15,
LEAD00098,2025-06-12,Trade Show,E0018,Qualified,2025-07-02,
LEAD00099,2025-03-08,Trade Show,E0122,Disqualified,2025-03-10,Unresponsive
LEAD00100,2024-07-21,Referral,E0100,Disqualified,2024-08-04,Wrong Fit
LEAD00101,2024-04-05,Referral,E0057,Disqualified,2024-04-10,Wrong Fit
LEAD00102,2025-06-12,Cold Outreach,E0163,Qualified,2025-06-19,
LEAD00103,2024-09-22,Referral,E0089,Disqualified,2024-09-30,No Budget
LEAD00104,2024-11-10,Partner Channel,E0119,Disqualified,2024-11-17,Unresponsive
LEAD00105,2025-12-07,Cold Outreach,E0009,Disqualified,2025-12-20,Unresponsive
LEAD00106,2024-08-25,Partner Channel,E0099,Disqualified,2024-09-11,Went With Competitor
LEAD00107,2024-03-06,Referral,E0126,Disqualified,2024-03-16,Went With Competitor
LEAD00108,2025-05-23,Partner Channel,E0014,Disqualified,2025-06-06,Unresponsive
LEAD00109,2025-08-14,Partner Channel,E0126,Qualified,2025-08-17,
LEAD00110,2024-10-06,Cold Outreach,E0096,Qualified,2024-10-10,
LEAD00111,2025-09-25,Partner Channel,E0018,Qualified,2025-10-12,
LEAD00112,2025-05-29,Referral,E0085,Disqualified,2025-06-16,Unresponsive
LEAD00113,2024-06-15,Web Inquiry,E0028,Qualified,2024-07-04,
LEAD00114,2025-09-13,Referral,E0057,Disqualified,2025-10-01,Wrong Fit
LEAD00115,2025-01-08,Partner Channel,E0018,Disqualified,2025-01-19,Wrong Fit
LEAD00116,2024-07-16,Partner Channel,E0119,Disqualified,2024-08-05,No Budget
LEAD00117,2025-05-07,Cold Outreach,E0099,Disqualified,2025-05-20,Unresponsive
LEAD00118,2024-05-30,Cold Outreach,E0161,Qualified,2024-06-18,
LEAD00119,2024-09-07,Partner Channel,E0059,Disqualified,2024-09-09,Went With Competitor
LEAD00120,2024-08-21,Trade Show,E0096,Disqualified,2024-09-09,No Budget
LEAD00121,2024-06-14,Partner Channel,E0122,Qualified,2024-06-23,
LEAD00122,2024-11-05,Web Inquiry,E0148,Disqualified,2024-11-24,Wrong Fit
LEAD00123,2025-12-21,Trade Show,E0172,Open,,
LEAD00124,2025-06-15,Web Inquiry,E0085,Qualified,2025-07-01,
LEAD00125,2025-04-25,Trade Show,E0059,Disqualified,2025-05-07,No Longer Interested
LEAD00126,2024-11-15,Partner Channel,E0032,Qualified,2024-12-01,
LEAD00127,2025-04-15,Cold Outreach,E0173,Disqualified,2025-05-05,No Longer Interested
LEAD00128,2025-05-21,Cold Outreach,E0009,Qualified,2025-06-10,
LEAD00129,2024-05-11,Cold Outreach,E0085,Qualified,2024-05-15,
LEAD00130,2025-12-27,Partner Channel,E0089,Disqualified,2025-12-31,Wrong Fit
LEAD00131,2024-04-23,Cold Outreach,E0018,Qualified,2024-04-26,
LEAD00132,2024-06-19,Referral,E0028,Disqualified,2024-06-28,Unresponsive
LEAD00133,2024-10-06,Referral,E0126,Disqualified,2024-10-17,No Budget
LEAD00134,2025-07-07,Trade Show,E0100,Qualified,2025-07-23,
LEAD00135,2024-04-24,Web Inquiry,E0052,Qualified,2024-05-05,
LEAD00136,2024-12-14,Referral,E0096,Qualified,2024-12-25,
LEAD00137,2025-11-05,Partner Channel,E0148,Disqualified,2025-11-08,Went With Competitor
LEAD00138,2024-11-01,Cold Outreach,E0122,Qualified,2024-11-06,
LEAD00139,2025-10-07,Referral,E0163,Qualified,2025-10-25,
LEAD00140,2025-03-15,Web Inquiry,E0009,Disqualified,2025-03-24,Unresponsive
LEAD00141,2025-08-13,Trade Show,E0122,Disqualified,2025-08-24,No Longer Interested
LEAD00142,2024-03-27,Web Inquiry,E0009,Qualified,2024-04-15,
LEAD00143,2024-10-15,Partner Channel,E0032,Qualified,2024-11-04,
LEAD00144,2024-08-18,Trade Show,E0089,Qualified,2024-09-07,
LEAD00145,2024-10-29,Cold Outreach,E0126,Disqualified,2024-11-01,Unresponsive
LEAD00146,2024-07-18,Web Inquiry,E0009,Disqualified,2024-07-22,No Longer Interested
LEAD00147,2024-10-11,Trade Show,E0052,Disqualified,2024-10-21,No Budget
LEAD00148,2025-03-21,Partner Channel,E0014,Disqualified,2025-03-26,No Longer Interested
LEAD00149,2024-12-08,Cold Outreach,E0052,Disqualified,2024-12-21,Went With Competitor
LEAD00150,2024-06-13,Web Inquiry,E0059,Disqualified,2024-06-22,Unresponsive
LEAD00151,2024-06-30,Referral,E0163,Qualified,2024-07-17,
LEAD00152,2024-02-04,Web Inquiry,E0018,Qualified,2024-02-23,
LEAD00153,2024-01-02,Partner Channel,E0089,Disqualified,2024-01-04,No Longer Interested
LEAD00154,2024-01-30,Cold Outreach,E0122,Disqualified,2024-02-15,Went With Competitor
LEAD00155,2024-07-16,Web Inquiry,E0009,Disqualified,2024-08-03,Unresponsive
LEAD00156,2025-07-19,Referral,E0009,Qualified,2025-07-27,
LEAD00157,2025-12-04,Web Inquiry,E0052,Disqualified,2025-12-16,No Budget
LEAD00158,2025-05-14,Trade Show,E0052,Disqualified,2025-06-01,Unresponsive
LEAD00159,2024-05-24,Cold Outreach,E0018,Disqualified,2024-06-02,Unresponsive
LEAD00160,2025-09-12,Cold Outreach,E0172,Disqualified,2025-09-20,No Budget
LEAD00161,2024-04-20,Referral,E0163,Qualified,2024-04-25,
LEAD00162,2025-05-09,Partner Channel,E0163,Disqualified,2025-05-21,No Longer Interested
LEAD00163,2024-03-14,Cold Outreach,E0100,Disqualified,2024-03-23,Wrong Fit
LEAD00164,2024-02-08,Partner Channel,E0163,Disqualified,2024-02-28,Wrong Fit
LEAD00165,2024-09-04,Referral,E0014,Qualified,2024-09-11,
LEAD00166,2025-05-26,Partner Channel,E0014,Disqualified,2025-06-11,No Budget
LEAD00167,2025-03-17,Trade Show,E0018,Disqualified,2025-04-01,Unresponsive
LEAD00168,2025-02-03,Web Inquiry,E0172,Qualified,2025-02-06,
LEAD00169,2024-04-24,Trade Show,E0032,Disqualified,2024-05-04,Went With Competitor
LEAD00170,2025-12-03,Referral,E0057,Qualified,2025-12-14,
LEAD00171,2025-09-18,Cold Outreach,E0163,Disqualified,2025-10-05,Unresponsive
LEAD00172,2024-06-16,Web Inquiry,E0059,Qualified,2024-06-22,
LEAD00173,2025-08-13,Web Inquiry,E0172,Qualified,2025-08-30,
LEAD00174,2024-02-26,Cold Outreach,E0163,Disqualified,2024-03-01,No Longer Interested
LEAD00175,2024-05-25,Partner Channel,E0032,Qualified,2024-06-04,
LEAD00176,2025-08-31,Web Inquiry,E0126,Disqualified,2025-09-02,Unresponsive
LEAD00177,2025-07-12,Cold Outreach,E0089,Disqualified,2025-07-17,Unresponsive
LEAD00178,2024-11-04,Referral,E0018,Qualified,2024-11-17,
LEAD00179,2024-09-10,Web Inquiry,E0173,Disqualified,2024-09-28,Unresponsive
LEAD00180,2024-12-09,Cold Outreach,E0126,Disqualified,2024-12-18,No Longer Interested
LEAD00181,2025-08-01,Trade Show,E0096,Disqualified,2025-08-17,Went With Competitor
LEAD00182,2025-06-07,Web Inquiry,E0057,Qualified,2025-06-20,
LEAD00183,2025-02-15,Partner Channel,E0126,Disqualified,2025-02-22,No Longer Interested
LEAD00184,2024-05-13,Web Inquiry,E0119,Disqualified,2024-05-17,Went With Competitor
LEAD00185,2024-02-29,Trade Show,E0057,Disqualified,2024-03-05,Wrong Fit
LEAD00186,2024-11-25,Web Inquiry,E0148,Disqualified,2024-11-30,Unresponsive
LEAD00187,2025-01-27,Cold Outreach,E0122,Qualified,2025-02-10,
LEAD00188,2025-08-08,Partner Channel,E0096,Disqualified,2025-08-17,Went With Competitor
LEAD00189,2025-02-08,Cold Outreach,E0009,Disqualified,2025-02-28,Unresponsive
LEAD00190,2025-03-09,Cold Outreach,E0032,Disqualified,2025-03-21,No Longer Interested
LEAD00191,2024-06-09,Web Inquiry,E0028,Disqualified,2024-06-13,No Longer Interested
LEAD00192,2025-10-21,Cold Outreach,E0161,Disqualified,2025-11-08,Wrong Fit
LEAD00193,2024-08-30,Referral,E0119,Qualified,2024-09-14,
LEAD00194,2025-09-23,Web Inquiry,E0173,Disqualified,2025-10-04,Wrong Fit
LEAD00195,2025-05-14,Web Inquiry,E0009,Qualified,2025-05-21,
LEAD00196,2024-07-18,Partner Channel,E0100,Disqualified,2024-07-24,Wrong Fit
LEAD00197,2025-01-01,Cold Outreach,E0009,Qualified,2025-01-19,
LEAD00198,2025-08-03,Trade Show,E0119,Disqualified,2025-08-10,No Longer Interested
LEAD00199,2024-03-30,Partner Channel,E0059,Disqualified,2024-04-16,Unresponsive
LEAD00200,2025-04-09,Referral,E0018,Qualified,2025-04-14,
LEAD00201,2024-07-24,Partner Channel,E0172,Qualified,2024-07-29,
LEAD00202,2024-03-29,Web Inquiry,E0059,Disqualified,2024-04-01,Wrong Fit
LEAD00203,2024-12-15,Trade Show,E0014,Disqualified,2024-12-19,Unresponsive
LEAD00204,2024-07-11,Cold Outreach,E0028,Disqualified,2024-07-31,No Longer Interested
LEAD00205,2024-04-02,Referral,E0096,Disqualified,2024-04-19,Wrong Fit
LEAD00206,2025-07-04,Partner Channel,E0057,Qualified,2025-07-12,
LEAD00207,2025-05-30,Trade Show,E0009,Qualified,2025-06-19,
LEAD00208,2025-09-09,Cold Outreach,E0028,Qualified,2025-09-25,
LEAD00209,2025-04-30,Referral,E0126,Disqualified,2025-05-15,No Longer Interested
LEAD00210,2024-04-23,Cold Outreach,E0028,Qualified,2024-05-04,
LEAD00211,2025-06-22,Cold Outreach,E0161,Qualified,2025-07-02,
LEAD00212,2025-05-28,Referral,E0119,Disqualified,2025-06-16,Went With Competitor
LEAD00213,2024-10-04,Partner Channel,E0028,Disqualified,2024-10-20,Wrong Fit
LEAD00214,2024-08-25,Trade Show,E0100,Disqualified,2024-09-01,Wrong Fit
LEAD00215,2025-10-26,Referral,E0172,Qualified,2025-10-31,
LEAD00216,2024-05-13,Cold Outreach,E0018,Qualified,2024-06-02,
LEAD00217,2024-03-31,Trade Show,E0099,Qualified,2024-04-07,
LEAD00218,2024-03-12,Partner Channel,E0089,Disqualified,2024-04-01,Wrong Fit
LEAD00219,2025-12-11,Web Inquiry,E0163,Open,,
LEAD00220,2024-03-13,Referral,E0126,Disqualified,2024-03-20,No Longer Interested
LEAD00221,2024-08-26,Trade Show,E0126,Disqualified,2024-09-03,Unresponsive
LEAD00222,2024-12-03,Web Inquiry,E0163,Disqualified,2024-12-23,No Longer Interested
LEAD00223,2025-08-08,Partner Channel,E0032,Disqualified,2025-08-27,Unresponsive
LEAD00224,2024-03-25,Trade Show,E0096,Disqualified,2024-03-28,No Budget
LEAD00225,2024-09-15,Partner Channel,E0163,Disqualified,2024-09-19,No Longer Interested
LEAD00226,2025-03-18,Trade Show,E0018,Qualified,2025-03-31,
LEAD00227,2025-04-15,Trade Show,E0018,Disqualified,2025-04-17,No Longer Interested
LEAD00228,2025-08-25,Web Inquiry,E0172,Qualified,2025-09-05,
LEAD00229,2024-02-13,Trade Show,E0122,Qualified,2024-02-26,
LEAD00230,2024-11-04,Web Inquiry,E0172,Disqualified,2024-11-24,Wrong Fit
LEAD00231,2025-10-08,Trade Show,E0085,Disqualified,2025-10-26,Wrong Fit
LEAD00232,2025-03-28,Partner Channel,E0148,Disqualified,2025-04-09,Went With Competitor
LEAD00233,2025-11-03,Partner Channel,E0032,Disqualified,2025-11-12,Wrong Fit
LEAD00234,2025-09-02,Partner Channel,E0009,Qualified,2025-09-08,
LEAD00235,2025-12-05,Cold Outreach,E0018,Qualified,2025-12-15,
LEAD00236,2025-08-24,Cold Outreach,E0161,Disqualified,2025-09-06,No Budget
LEAD00237,2024-12-31,Partner Channel,E0163,Disqualified,2025-01-20,Went With Competitor
LEAD00238,2024-08-16,Referral,E0119,Disqualified,2024-09-02,Unresponsive
LEAD00239,2024-10-06,Web Inquiry,E0089,Disqualified,2024-10-14,No Budget
LEAD00240,2025-02-16,Cold Outreach,E0161,Disqualified,2025-02-28,No Longer Interested
LEAD00241,2025-08-25,Cold Outreach,E0163,Qualified,2025-09-01,
LEAD00242,2024-12-12,Trade Show,E0100,Disqualified,2024-12-17,Went With Competitor
LEAD00243,2025-01-10,Partner Channel,E0100,Disqualified,2025-01-25,Went With Competitor
LEAD00244,2024-03-28,Trade Show,E0172,Disqualified,2024-04-04,Went With Competitor
LEAD00245,2025-04-17,Partner Channel,E0085,Qualified,2025-04-28,
LEAD00246,2024-05-25,Partner Channel,E0014,Qualified,2024-06-14,
LEAD00247,2024-12-09,Partner Channel,E0161,Qualified,2024-12-13,
LEAD00248,2024-03-02,Referral,E0172,Disqualified,2024-03-10,No Budget
LEAD00249,2025-02-18,Referral,E0028,Qualified,2025-03-02,
LEAD00250,2024-06-11,Partner Channel,E0122,Qualified,2024-07-01,
LEAD00251,2025-05-25,Web Inquiry,E0018,Qualified,2025-06-03,
LEAD00252,2025-11-30,Cold Outreach,E0126,Disqualified,2025-12-02,Went With Competitor
LEAD00253,2024-01-31,Cold Outreach,E0028,Disqualified,2024-02-19,Wrong Fit
LEAD00254,2025-10-24,Web Inquiry,E0100,Disqualified,2025-11-01,No Longer Interested
LEAD00255,2024-08-02,Partner Channel,E0052,Qualified,2024-08-11,
LEAD00256,2025-08-24,Trade Show,E0096,Disqualified,2025-08-27,Wrong Fit
LEAD00257,2025-07-11,Partner Channel,E0018,Disqualified,2025-07-20,No Longer Interested
LEAD00258,2025-09-09,Cold Outreach,E0018,Disqualified,2025-09-17,Went With Competitor
LEAD00259,2025-04-27,Cold Outreach,E0100,Disqualified,2025-04-30,Wrong Fit
LEAD00260,2025-11-02,Referral,E0122,Disqualified,2025-11-05,Went With Competitor
LEAD00261,2024-01-11,Cold Outreach,E0122,Disqualified,2024-01-15,No Longer Interested
LEAD00262,2024-05-17,Cold Outreach,E0085,Qualified,2024-05-28,
LEAD00263,2024-03-04,Cold Outreach,E0100,Disqualified,2024-03-10,Unresponsive
LEAD00264,2025-02-27,Cold Outreach,E0163,Qualified,2025-03-01,
LEAD00265,2024-02-15,Referral,E0032,Disqualified,2024-02-18,Unresponsive
LEAD00266,2024-10-01,Cold Outreach,E0028,Disqualified,2024-10-15,Went With Competitor
LEAD00267,2024-08-20,Cold Outreach,E0009,Disqualified,2024-08-24,Went With Competitor
LEAD00268,2024-05-20,Trade Show,E0057,Disqualified,2024-05-26,No Longer Interested
LEAD00269,2025-06-14,Cold Outreach,E0119,Disqualified,2025-06-29,Wrong Fit
LEAD00270,2024-04-09,Trade Show,E0032,Disqualified,2024-04-19,Wrong Fit
LEAD00271,2025-01-05,Cold Outreach,E0172,Qualified,2025-01-22,
LEAD00272,2025-09-25,Referral,E0126,Disqualified,2025-10-04,Wrong Fit
LEAD00273,2025-12-25,Partner Channel,E0173,Qualified,2025-12-29,
LEAD00274,2025-04-10,Web Inquiry,E0057,Disqualified,2025-04-18,No Longer Interested
LEAD00275,2025-11-23,Web Inquiry,E0119,Disqualified,2025-11-25,No Longer Interested
LEAD00276,2025-05-31,Trade Show,E0163,Disqualified,2025-06-19,Unresponsive
LEAD00277,2025-08-06,Cold Outreach,E0122,Qualified,2025-08-16,
LEAD00278,2025-10-12,Trade Show,E0032,Disqualified,2025-10-31,No Budget
LEAD00279,2025-04-21,Cold Outreach,E0173,Qualified,2025-04-30,
LEAD00280,2024-05-17,Partner Channel,E0122,Qualified,2024-05-30,
LEAD00281,2025-07-11,Cold Outreach,E0161,Qualified,2025-07-28,
LEAD00282,2025-12-25,Cold Outreach,E0059,Open,,
LEAD00283,2024-11-26,Web Inquiry,E0009,Disqualified,2024-12-08,Wrong Fit
LEAD00284,2024-12-24,Referral,E0085,Disqualified,2025-01-06,Went With Competitor
LEAD00285,2024-12-25,Cold Outreach,E0099,Qualified,2025-01-05,
LEAD00286,2024-09-08,Referral,E0096,Disqualified,2024-09-20,Went With Competitor
LEAD00287,2024-06-19,Referral,E0163,Disqualified,2024-06-27,Unresponsive
LEAD00288,2025-11-15,Referral,E0089,Disqualified,2025-11-28,Went With Competitor
LEAD00289,2024-10-17,Referral,E0089,Disqualified,2024-10-19,Went With Competitor
LEAD00290,2024-07-09,Trade Show,E0018,Qualified,2024-07-20,
LEAD00291,2025-03-16,Trade Show,E0148,Qualified,2025-03-29,
LEAD00292,2025-09-19,Referral,E0100,Qualified,2025-09-22,
LEAD00293,2024-07-31,Trade Show,E0009,Disqualified,2024-08-02,No Budget
LEAD00294,2024-04-28,Cold Outreach,E0126,Qualified,2024-05-08,
LEAD00295,2025-06-05,Partner Channel,E0122,Qualified,2025-06-22,
LEAD00296,2025-03-14,Referral,E0100,Qualified,2025-03-18,
LEAD00297,2024-09-15,Trade Show,E0014,Qualified,2024-09-17,
LEAD00298,2025-03-28,Web Inquiry,E0059,Qualified,2025-04-14,
LEAD00299,2025-10-17,Trade Show,E0057,Disqualified,2025-10-25,Went With Competitor
LEAD00300,2024-08-30,Web Inquiry,E0032,Disqualified,2024-09-07,Wrong Fit
LEAD00301,2024-09-20,Partner Channel,E0057,Disqualified,2024-10-01,Wrong Fit
LEAD00302,2025-03-22,Web Inquiry,E0161,Disqualified,2025-03-25,No Budget
LEAD00303,2024-12-09,Trade Show,E0089,Qualified,2024-12-21,
LEAD00304,2025-11-17,Referral,E0085,Disqualified,2025-12-04,Unresponsive
LEAD00305,2024-04-26,Cold Outreach,E0057,Disqualified,2024-05-13,Unresponsive
LEAD00306,2024-09-29,Cold Outreach,E0163,Disqualified,2024-10-04,Went With Competitor
LEAD00307,2025-06-01,Partner Channel,E0018,Disqualified,2025-06-17,No Longer Interested
LEAD00308,2024-03-28,Cold Outreach,E0057,Disqualified,2024-04-17,Unresponsive
LEAD00309,2025-07-05,Referral,E0126,Disqualified,2025-07-15,Unresponsive
LEAD00310,2024-11-30,Web Inquiry,E0099,Qualified,2024-12-12,
LEAD00311,2024-10-29,Web Inquiry,E0100,Disqualified,2024-11-10,Unresponsive
LEAD00312,2024-03-15,Web Inquiry,E0032,Disqualified,2024-03-20,Unresponsive
LEAD00313,2024-06-06,Referral,E0100,Disqualified,2024-06-17,Wrong Fit
LEAD00314,2025-04-25,Cold Outreach,E0126,Disqualified,2025-05-05,Unresponsive
LEAD00315,2024-01-16,Trade Show,E0014,Disqualified,2024-02-05,No Longer Interested
LEAD00316,2025-06-23,Referral,E0089,Disqualified,2025-06-30,Unresponsive
LEAD00317,2025-01-28,Web Inquiry,E0014,Disqualified,2025-02-14,No Longer Interested
LEAD00318,2024-01-26,Cold Outreach,E0085,Qualified,2024-01-28,
LEAD00319,2025-08-09,Trade Show,E0173,Qualified,2025-08-19,
LEAD00320,2025-08-29,Partner Channel,E0028,Disqualified,2025-08-31,No Budget
LEAD00321,2024-07-13,Partner Channel,E0126,Qualified,2024-07-17,
LEAD00322,2025-05-15,Partner Channel,E0173,Disqualified,2025-05-23,No Longer Interested
LEAD00323,2024-01-27,Trade Show,E0148,Disqualified,2024-02-08,Wrong Fit
LEAD00324,2024-11-21,Web Inquiry,E0032,Disqualified,2024-12-07,No Longer Interested
LEAD00325,2025-01-26,Referral,E0161,Qualified,2025-01-29,
LEAD00326,2024-01-05,Web Inquiry,E0052,Disqualified,2024-01-14,Wrong Fit
LEAD00327,2025-03-12,Referral,E0126,Disqualified,2025-03-29,Went With Competitor
LEAD00328,2024-05-10,Partner Channel,E0059,Disqualified,2024-05-16,Went With Competitor
LEAD00329,2024-02-19,Cold Outreach,E0057,Qualified,2024-03-07,
LEAD00330,2024-11-28,Trade Show,E0018,Disqualified,2024-12-02,Wrong Fit
LEAD00331,2024-05-13,Trade Show,E0014,Disqualified,2024-05-21,Went With Competitor
