activity_id,type,regarding_type,regarding_id,owner,activity_date,duration_minutes
ACT000098,Task,Opportunity,OPP00018,E0100,2025-10-11,
ACT000099,Call,Opportunity,OPP00018,E0100,2025-11-07,40.0
ACT000100,Task,Opportunity,OPP00019,E0028,2025-09-24,
ACT000101,Email,Opportunity,OPP00019,E0028,2025-07-01,
ACT000102,Meeting,Opportunity,OPP00019,E0028,2025-06-04,36.0
ACT000103,Email,Opportunity,OPP00019,E0028,2025-06-18,
ACT000104,Task,Opportunity,OPP00019,E0028,2025-08-29,
ACT000105,Task,Opportunity,OPP00019,E0028,2025-09-03,
ACT000106,Call,Opportunity,OPP00019,E0028,2025-09-09,8.0
ACT000107,Email,Opportunity,OPP00020,E0163,2026-01-02,
ACT000108,Meeting,Opportunity,OPP00020,E0163,2026-01-05,12.0
ACT000109,Meeting,Opportunity,OPP00020,E0163,2026-01-09,14.0
ACT000110,Meeting,Opportunity,OPP00020,E0163,2025-12-20,12.0
ACT000111,Email,Opportunity,OPP00020,E0163,2026-01-11,
ACT000112,Email,Opportunity,OPP00020,E0163,2025-12-22,
ACT000113,Call,Opportunity,OPP00021,E0018,2024-08-08,20.0
ACT000114,Email,Opportunity,OPP00021,E0018,2024-08-28,
ACT000115,Meeting,Opportunity,OPP00021,E0018,2024-08-03,32.0
ACT000116,Task,Opportunity,OPP00021,E0018,2024-08-21,
ACT000117,Task,Opportunity,OPP00021,E0018,2024-09-10,
ACT000118,Email,Opportunity,OPP00022,E0014,2025-08-04,
ACT000119,Task,Opportunity,OPP00022,E0014,2025-07-25,
ACT000120,Call,Opportunity,OPP00022,E0014,2025-07-13,24.0
ACT000121,Email,Opportunity,OPP00022,E0014,2025-07-01,
ACT000122,Email,Opportunity,OPP00023,E0052,2025-09-29,
ACT000123,Email,Opportunity,OPP00023,E0052,2025-08-16,
ACT000124,Email,Opportunity,OPP00023,E0052,2025-09-13,
ACT000125,Email,Opportunity,OPP00023,E0052,2025-09-28,
ACT000126,Call,Opportunity,OPP00024,E0057,2024-09-11,23.0
ACT000127,Email,Opportunity,OPP00024,E0057,2024-09-16,
ACT000128,Email,Opportunity,OPP00025,E0089,2025-08-16,
ACT000129,Email,Opportunity,OPP00025,E0089,2025-09-06,
ACT000130,Task,Opportunity,OPP00025,E0089,2025-09-13,
ACT000131,Call,Opportunity,OPP00025,E0089,2025-08-15,5.0
ACT000132,Call,Opportunity,OPP00025,E0089,2025-08-30,36.0
ACT000133,Call,Opportunity,OPP00025,E0089,2025-08-23,29.0
ACT000134,Call,Opportunity,OPP00025,E0089,2025-09-05,31.0
ACT000135,Call,Opportunity,OPP00026,E0122,2025-08-31,14.0
ACT000136,Meeting,Opportunity,OPP00026,E0122,2025-06-05,7.0
ACT000137,Call,Opportunity,OPP00026,E0122,2025-06-28,10.0
ACT000138,Email,Opportunity,OPP00026,E0122,2025-09-10,
ACT000139,Meeting,Opportunity,OPP00026,E0122,2025-07-16,9.0
ACT000140,Email,Opportunity,OPP00026,E0122,2025-07-11,
ACT000141,Email,Opportunity,OPP00026,E0122,2025-07-02,
ACT000142,Call,Opportunity,OPP00026,E0122,2025-07-18,6.0
ACT000143,Email,Opportunity,OPP00027,E0052,2024-09-08,
ACT000144,Call,Opportunity,OPP00027,E0052,2024-09-03,44.0
ACT000145,Task,Opportunity,OPP00027,E0052,2024-08-20,
ACT000146,Call,Opportunity,OPP00027,E0052,2024-08-20,38.0
ACT000147,Call,Opportunity,OPP00028,E0122,2024-12-06,32.0
ACT000148,Call,Opportunity,OPP00028,E0122,2024-10-18,12.0
ACT000149,Call,Opportunity,OPP00028,E0122,2024-09-28,37.0
ACT000150,Call,Opportunity,OPP00028,E0122,2024-12-04,21.0
ACT000151,Meeting,Opportunity,OPP00028,E0122,2024-09-22,24.0
ACT000152,Call,Opportunity,OPP00029,E0163,2024-05-14,22.0
ACT000153,Call,Opportunity,OPP00029,E0163,2024-05-02,37.0
ACT000154,Task,Opportunity,OPP00029,E0163,2024-05-01,
ACT000155,Task,Opportunity,OPP00029,E0163,2024-05-12,
ACT000156,Call,Opportunity,OPP00029,E0163,2024-05-02,10.0
ACT000157,Task,Opportunity,OPP00030,E0119,2025-02-16,
ACT000158,Email,Opportunity,OPP00030,E0119,2025-02-18,
ACT000159,Email,Opportunity,OPP00030,E0119,2025-01-13,
ACT000160,Meeting,Opportunity,OPP00030,E0119,2024-12-17,27.0
ACT000161,Task,Opportunity,OPP00030,E0119,2025-01-24,
ACT000162,Call,Opportunity,OPP00031,E0009,2024-08-24,41.0
ACT000163,Email,Opportunity,OPP00031,E0009,2024-09-02,
ACT000164,Call,Opportunity,OPP00031,E0009,2024-08-24,9.0
ACT000165,Email,Opportunity,OPP00031,E0009,2024-08-27,
ACT000166,Meeting,Opportunity,OPP00032,E0119,2024-06-16,5.0
ACT000167,Email,Opportunity,OPP00032,E0119,2024-06-09,
ACT000168,Call,Opportunity,OPP00032,E0119,2024-06-15,15.0
ACT000169,Call,Opportunity,OPP00033,E0161,2025-02-18,30.0
ACT000170,Task,Opportunity,OPP00033,E0161,2025-02-18,
ACT000171,Call,Opportunity,OPP00033,E0161,2025-02-12,33.0
ACT000172,Call,Opportunity,OPP00033,E0161,2025-02-02,43.0
ACT000173,Call,Opportunity,OPP00034,E0028,2024-05-09,44.0
ACT000174,Call,Opportunity,OPP00034,E0028,2024-05-01,10.0
ACT000175,Email,Opportunity,OPP00034,E0028,2024-05-15,
ACT000176,Call,Opportunity,OPP00034,E0028,2024-05-10,10.0
ACT000177,Call,Opportunity,OPP00034,E0028,2024-05-13,13.0
ACT000178,Call,Opportunity,OPP00034,E0028,2024-04-17,36.0
ACT000179,Email,Opportunity,OPP00035,E0014,2025-08-08,
ACT000180,Email,Opportunity,OPP00035,E0014,2025-08-12,
ACT000181,Call,Opportunity,OPP00036,E0018,2024-03-11,38.0
ACT000182,Call,Opportunity,OPP00036,E0018,2024-03-12,40.0
ACT000183,Email,Opportunity,OPP00037,E0085,2024-08-14,
ACT000184,Call,Opportunity,OPP00037,E0085,2024-07-26,24.0
ACT000185,Call,Opportunity,OPP00037,E0085,2024-08-21,29.0
ACT000186,Email,Opportunity,OPP00037,E0085,2024-08-16,
ACT000187,Email,Opportunity,OPP00037,E0085,2024-08-07,
ACT000188,Email,Opportunity,OPP00037,E0085,2024-08-15,
ACT000189,Call,Opportunity,OPP00038,E0052,2024-07-14,26.0
ACT000190,Meeting,Opportunity,OPP00038,E0052,2024-07-15,40.0
ACT000191,Call,Opportunity,OPP00039,E0089,2025-10-28,32.0
ACT000192,Email,Opportunity,OPP00039,E0089,2025-11-13,
ACT000193,Email,Opportunity,OPP00039,E0089,2025-11-01,
ACT000194,Email,Opportunity,OPP00040,E0014,2024-12-20,
ACT000195,Task,Opportunity,OPP00040,E0014,2025-01-20,
ACT000196,Email,Opportunity,OPP00040,E0014,2025-01-28,
ACT000197,Email,Opportunity,OPP00040,E0014,2025-01-24,
ACT000198,Call,Opportunity,OPP00040,E0014,2025-01-19,7.0
ACT000199,Email,Opportunity,OPP00040,E0014,2024-12-19,
ACT000200,Call,Opportunity,OPP00040,E0014,2024-12-23,43.0
ACT000201,Call,Opportunity,OPP00040,E0014,2025-01-25,10.0
ACT000202,Email,Opportunity,OPP00041,E0089,2025-08-14,
ACT000203,Call,Opportunity,OPP00041,E0089,2025-07-10,31.0
ACT000204,Email,Opportunity,OPP00041,E0089,2025-07-23,
ACT000205,Email,Opportunity,OPP00041,E0089,2025-08-29,
ACT000206,Call,Opportunity,OPP00041,E0089,2025-09-12,44.0
ACT000207,Task,Opportunity,OPP00041,E0089,2025-07-13,
ACT000208,Email,Opportunity,OPP00042,E0173,2025-07-15,
ACT000209,Email,Opportunity,OPP00042,E0173,2025-06-30,
ACT000210,Call,Opportunity,OPP00042,E0173,2025-07-13,7.0
ACT000211,Meeting,Opportunity,OPP00043,E0028,2025-09-01,35.0
ACT000212,Call,Opportunity,OPP00043,E0028,2025-09-08,5.0
ACT000213,Meeting,Opportunity,OPP00043,E0028,2025-08-23,41.0
ACT000214,Call,Opportunity,OPP00044,E0009,2024-11-05,27.0
ACT000215,Email,Opportunity,OPP00044,E0009,2024-11-24,
ACT000216,Email,Opportunity,OPP00044,E0009,2024-10-14,
ACT000217,Meeting,Opportunity,OPP00045,E0028,2025-10-25,21.0
ACT000218,Email,Opportunity,OPP00045,E0028,2025-11-21,
ACT000219,Meeting,Opportunity,OPP00045,E0028,2025-11-04,41.0
ACT000220,Call,Opportunity,OPP00045,E0028,2025-12-09,41.0
ACT000221,Call,Opportunity,OPP00045,E0028,2025-10-19,19.0
ACT000222,Email,Opportunity,OPP00046,E0032,2024-08-11,
ACT000223,Task,Opportunity,OPP00046,E0032,2024-08-30,
ACT000224,Email,Opportunity,OPP00047,E0057,2024-07-09,
ACT000225,Email,Opportunity,OPP00047,E0057,2024-07-11,
ACT000226,Meeting,Opportunity,OPP00047,E0057,2024-06-21,11.0
ACT000227,Email,Opportunity,OPP00047,E0057,2024-06-21,
ACT000228,Meeting,Opportunity,OPP00047,E0057,2024-06-25,13.0
ACT000229,Meeting,Opportunity,OPP00048,E0014,2024-06-28,35.0
ACT000230,Email,Opportunity,OPP00048,E0014,2024-06-27,
ACT000231,Email,Opportunity,OPP00048,E0014,2024-07-04,
ACT000232,Email,Opportunity,OPP00048,E0014,2024-06-25,
ACT000233,Email,Opportunity,OPP00049,E0099,2025-08-27,
ACT000234,Call,Opportunity,OPP00049,E0099,2025-08-23,41.0
ACT000235,Email,Opportunity,OPP00049,E0099,2025-07-21,
ACT000236,Email,Opportunity,OPP00049,E0099,2025-08-31,
ACT000237,Call,Opportunity,OPP00049,E0099,2025-08-14,21.0
ACT000238,Email,Opportunity,OPP00049,E0099,2025-07-07,
ACT000239,Call,Opportunity,OPP00049,E0099,2025-08-23,37.0
ACT000240,Call,Opportunity,OPP00050,E0032,2024-12-15,34.0
ACT000241,Task,Opportunity,OPP00050,E0032,2024-12-19,
ACT000242,Email,Opportunity,OPP00050,E0032,2024-12-06,
ACT000243,Call,Opportunity,OPP00051,E0014,2025-07-23,7.0
ACT000244,Call,Opportunity,OPP00051,E0014,2025-07-12,6.0
ACT000245,Meeting,Opportunity,OPP00051,E0014,2025-07-23,28.0
ACT000246,Email,Opportunity,OPP00051,E0014,2025-07-21,
ACT000247,Email,Opportunity,OPP00052,E0057,2024-09-08,
ACT000248,Email,Opportunity,OPP00052,E0057,2024-09-10,
ACT000249,Email,Opportunity,OPP00052,E0057,2024-06-06,
ACT000250,Task,Opportunity,OPP00053,E0052,2024-05-13,
ACT000251,Email,Opportunity,OPP00053,E0052,2024-05-29,
ACT000252,Email,Opportunity,OPP00054,E0018,2025-08-16,
ACT000253,Email,Opportunity,OPP00054,E0018,2025-11-04,
ACT000254,Email,Opportunity,OPP00054,E0018,2025-09-25,
ACT000255,Email,Opportunity,OPP00054,E0018,2025-09-20,
ACT000256,Email,Opportunity,OPP00054,E0018,2025-08-07,
ACT000257,Email,Opportunity,OPP00054,E0018,2025-08-04,
ACT000258,Call,Opportunity,OPP00055,E0032,2024-07-03,35.0
ACT000259,Email,Opportunity,OPP00055,E0032,2024-07-02,
ACT000260,Meeting,Opportunity,OPP00055,E0032,2024-07-20,37.0
ACT000261,Email,Opportunity,OPP00055,E0032,2024-06-18,
ACT000262,Meeting,Opportunity,OPP00055,E0032,2024-06-15,37.0
ACT000263,Email,Opportunity,OPP00055,E0032,2024-06-25,
ACT000264,Email,Opportunity,OPP00055,E0032,2024-05-16,
ACT000265,Task,Opportunity,OPP00056,E0126,2025-01-06,
ACT000266,Email,Opportunity,OPP00056,E0126,2025-01-08,
ACT000267,Email,Opportunity,OPP00056,E0126,2024-12-31,
ACT000268,Email,Opportunity,OPP00056,E0126,2024-12-29,
ACT000269,Email,Opportunity,OPP00056,E0126,2025-01-06,
ACT000270,Email,Opportunity,OPP00056,E0126,2025-01-11,
ACT000271,Meeting,Opportunity,OPP00056,E0126,2024-12-28,35.0
ACT000272,Call,Opportunity,OPP00057,E0018,2024-11-14,5.0
ACT000273,Email,Opportunity,OPP00057,E0018,2025-02-13,
ACT000274,Email,Opportunity,OPP00057,E0018,2024-12-30,
ACT000275,Call,Opportunity,OPP00057,E0018,2025-01-10,14.0
ACT000276,Email,Opportunity,OPP00058,E0018,2025-11-13,
ACT000277,Meeting,Opportunity,OPP00058,E0018,2025-11-19,8.0
ACT000278,Call,Opportunity,OPP00058,E0018,2025-10-28,38.0
ACT000279,Task,Opportunity,OPP00059,E0119,2024-05-02,
ACT000280,Meeting,Opportunity,OPP00059,E0119,2024-04-18,7.0
ACT000281,Call,Opportunity,OPP00059,E0119,2024-05-16,30.0
ACT000282,Task,Opportunity,OPP00059,E0119,2024-05-16,
ACT000283,Meeting,Opportunity,OPP00059,E0119,2024-05-18,30.0
ACT000284,Call,Opportunity,OPP00059,E0119,2024-05-14,26.0
ACT000285,Call,Opportunity,OPP00059,E0119,2024-04-21,32.0
ACT000286,Meeting,Opportunity,OPP00060,E0173,2024-12-06,17.0
ACT000287,Email,Opportunity,OPP00060,E0173,2024-12-04,
ACT000288,Task,Opportunity,OPP00060,E0173,2024-11-26,
ACT000289,Call,Opportunity,OPP00060,E0173,2024-11-16,31.0
ACT000290,Email,Opportunity,OPP00060,E0173,2024-11-08,
ACT000291,Email,Opportunity,OPP00060,E0173,2024-11-13,
ACT000292,Meeting,Opportunity,OPP00060,E0173,2024-11-23,44.0
ACT000293,Email,Opportunity,OPP00061,E0163,2024-09-27,
ACT000294,Meeting,Opportunity,OPP00061,E0163,2024-09-27,36.0
ACT000295,Call,Opportunity,OPP00062,E0032,2024-07-23,22.0
ACT000296,Meeting,Opportunity,OPP00062,E0032,2024-08-19,5.0
ACT000297,Call,Opportunity,OPP00062,E0032,2024-08-30,20.0
ACT000298,Call,Opportunity,OPP00062,E0032,2024-08-07,5.0
ACT000299,Call,Opportunity,OPP00062,E0032,2024-07-31,23.0
ACT000300,Email,Opportunity,OPP00063,E0009,2024-04-18,
ACT000301,Email,Opportunity,OPP00063,E0009,2024-04-15,
ACT000302,Call,Opportunity,OPP00063,E0009,2024-02-25,44.0
ACT000303,Task,Opportunity,OPP00063,E0009,2024-03-11,
ACT000304,Call,Opportunity,OPP00063,E0009,2024-03-13,16.0
ACT000305,Call,Opportunity,OPP00063,E0009,2024-03-23,12.0
ACT000306,Call,Opportunity,OPP00064,E0161,2025-09-04,40.0
ACT000307,Email,Opportunity,OPP00064,E0161,2025-08-12,
ACT000308,Call,Opportunity,OPP00065,E0161,2024-05-11,38.0
ACT000309,Call,Opportunity,OPP00065,E0161,2024-04-26,36.0
ACT000310,Call,Opportunity,OPP00065,E0161,2024-05-20,26.0
ACT000311,Call,Opportunity,OPP00066,E0148,2024-12-07,13.0
ACT000312,Call,Opportunity,OPP00066,E0148,2024-10-30,10.0
ACT000313,Call,Opportunity,OPP00066,E0148,2024-11-10,23.0
ACT000314,Call,Opportunity,OPP00066,E0148,2025-01-05,8.0
ACT000315,Email,Opportunity,OPP00067,E0126,2025-02-21,
ACT000316,Task,Opportunity,OPP00067,E0126,2025-02-16,
ACT000317,Email,Opportunity,OPP00067,E0126,2025-02-12,
ACT000318,Call,Opportunity,OPP00067,E0126,2025-05-04,42.0
ACT000319,Task,Opportunity,OPP00067,E0126,2025-03-19,
ACT000320,Meeting,Opportunity,OPP00067,E0126,2025-05-02,15.0
ACT000321,Email,Opportunity,OPP00068,E0089,2025-12-26,
ACT000322,Meeting,Opportunity,OPP00068,E0089,2026-01-10,41.0
ACT000323,Email,Opportunity,OPP00068,E0089,2025-12-19,
ACT000324,Meeting,Opportunity,OPP00068,E0089,2026-01-07,34.0
ACT000325,Call,Opportunity,OPP00069,E0018,2024-09-13,10.0
ACT000326,Task,Opportunity,OPP00069,E0018,2024-09-23,
ACT000327,Task,Opportunity,OPP00069,E0018,2024-08-06,
ACT000328,Email,Opportunity,OPP00069,E0018,2024-10-22,
ACT000329,Meeting,Opportunity,OPP00069,E0018,2024-09-07,18.0
ACT000330,Email,Opportunity,OPP00069,E0018,2024-10-06,
ACT000331,Call,Opportunity,OPP00069,E0018,2024-09-02,13.0
ACT000332,Call,Opportunity,OPP00070,E0172,2025-08-31,38.0
ACT000333,Task,Opportunity,OPP00070,E0172,2025-09-10,
ACT000334,Call,Opportunity,OPP00070,E0172,2025-09-17,6.0
ACT000335,Call,Opportunity,OPP00070,E0172,2025-09-03,18.0
ACT000336,Task,Opportunity,OPP00070,E0172,2025-10-01,
ACT000337,Task,Opportunity,OPP00070,E0172,2025-09-22,
ACT000338,Call,Opportunity,OPP00070,E0172,2025-09-30,26.0
ACT000339,Email,Opportunity,OPP00071,E0173,2024-06-12,
ACT000340,Call,Opportunity,OPP00071,E0173,2024-06-15,31.0
ACT000341,Email,Opportunity,OPP00071,E0173,2024-06-20,
ACT000342,Call,Opportunity,OPP00071,E0173,2024-06-08,12.0
ACT000343,Call,Opportunity,OPP00072,E0057,2024-12-04,23.0
ACT000344,Email,Opportunity,OPP00072,E0057,2024-12-15,
ACT000345,Email,Opportunity,OPP00072,E0057,2024-11-21,
ACT000346,Email,Opportunity,OPP00073,E0161,2025-06-28,
ACT000347,Meeting,Opportunity,OPP00073,E0161,2025-07-02,13.0
ACT000348,Email,Opportunity,OPP00073,E0161,2025-07-01,
ACT000349,Meeting,Opportunity,OPP00073,E0161,2025-07-06,14.0
ACT000350,Meeting,Opportunity,OPP00073,E0161,2025-07-14,41.0
ACT000351,Call,Opportunity,OPP00073,E0161,2025-07-04,42.0
ACT000352,Email,Opportunity,OPP00073,E0161,2025-07-14,
ACT000353,Meeting,Opportunity,OPP00073,E0161,2025-07-08,25.0
ACT000354,Call,Opportunity,OPP00074,E0119,2025-03-20,21.0
ACT000355,Task,Opportunity,OPP00074,E0119,2025-03-11,
ACT000356,Email,Opportunity,OPP00075,E0009,2024-10-17,
ACT000357,Meeting,Opportunity,OPP00075,E0009,2024-10-17,44.0
ACT000358,Email,Opportunity,OPP00075,E0009,2024-10-06,
ACT000359,Email,Opportunity,OPP00075,E0009,2024-10-10,
ACT000360,Call,Opportunity,OPP00075,E0009,2024-09-30,22.0
ACT000361,Email,Opportunity,OPP00075,E0009,2024-09-29,
ACT000362,Email,Opportunity,OPP00075,E0009,2024-10-19,
ACT000363,Call,Opportunity,OPP00075,E0009,2024-10-10,7.0
ACT000364,Meeting,Opportunity,OPP00076,E0028,2025-06-10,21.0
ACT000365,Call,Opportunity,OPP00076,E0028,2025-06-06,7.0
ACT000366,Meeting,Opportunity,OPP00077,E0052,2025-01-28,43.0
ACT000367,Call,Opportunity,OPP00077,E0052,2025-02-06,40.0
ACT000368,Call,Opportunity,OPP00078,E0173,2025-04-21,7.0
ACT000369,Email,Opportunity,OPP00078,E0173,2025-05-10,
ACT000370,Meeting,Opportunity,OPP00078,E0173,2025-05-16,24.0
ACT000371,Email,Opportunity,OPP00079,E0173,2024-08-17,
ACT000372,Call,Opportunity,OPP00079,E0173,2024-08-25,18.0
ACT000373,Meeting,Opportunity,OPP00079,E0173,2024-08-10,36.0
ACT000374,Meeting,Opportunity,OPP00079,E0173,2024-08-15,20.0
ACT000375,Email,Opportunity,OPP00079,E0173,2024-08-17,
ACT000376,Call,Opportunity,OPP00079,E0173,2024-08-05,6.0
ACT000377,Meeting,Opportunity,OPP00079,E0173,2024-08-27,16.0
ACT000378,Email,Opportunity,OPP00080,E0009,2025-08-04,
ACT000379,Email,Opportunity,OPP00080,E0009,2025-07-24,
ACT000380,Email,Opportunity,OPP00081,E0163,2025-07-02,
ACT000381,Task,Opportunity,OPP00081,E0163,2025-07-21,
ACT000382,Email,Opportunity,OPP00081,E0163,2025-09-02,
ACT000383,Meeting,Opportunity,OPP00082,E0057,2025-10-18,13.0
ACT000384,Email,Opportunity,OPP00082,E0057,2025-10-15,
ACT000385,Email,Opportunity,OPP00082,E0057,2025-10-25,
ACT000386,Meeting,Opportunity,OPP00082,E0057,2025-09-27,41.0
ACT000387,Email,Opportunity,OPP00083,E0172,2024-05-20,
ACT000388,Call,Opportunity,OPP00083,E0172,2024-06-25,14.0
ACT000389,Email,Opportunity,OPP00083,E0172,2024-06-24,
ACT000390,Call,Opportunity,OPP00083,E0172,2024-06-24,15.0
ACT000391,Call,Opportunity,OPP00083,E0172,2024-06-18,10.0
ACT000392,Email,Opportunity,OPP00083,E0172,2024-05-21,
ACT000393,Email,Opportunity,OPP00083,E0172,2024-06-06,
ACT000394,Email,Opportunity,OPP00083,E0172,2024-06-14,
ACT000395,Email,Opportunity,OPP00084,E0014,2025-07-27,
ACT000396,Meeting,Opportunity,OPP00084,E0014,2025-07-14,18.0
ACT000397,Email,Opportunity,OPP00084,E0014,2025-08-01,
ACT000398,Task,Opportunity,OPP00085,E0100,2025-11-25,
ACT000399,Meeting,Opportunity,OPP00085,E0100,2025-11-14,37.0
